"orfs" "gene" "WtSignal" "mean" "median" "sd"
"orf19.2250" "SPE3" 7053.30397153272 1.00496294905369 1.02267623947462 0.129476675272914
"orf19.1153" "GAD1" 5134.50390727568 1.08491345000988 1.03521485962142 0.146358349722538
"orf19.772" "LYS21" 5086.48040997926 1.14958119021722 1.11559946890227 0.138375029035857
"orf19.1378" "ERF3(SUP35)/SUP35" 4098.6103790125 1.06027477736379 1.02795242191887 0.184029039368072
"orf19.733" "" 5189.43672365368 0.84703990739943 0.803031822510256 0.156870130910196
"orf19.7655" "RPO21" 7775.14787778577 0.870647616309415 0.82985469366321 0.190662329495333
"orf19.6085" "RPL16B/RPL16A" 9224.02762379679 1.04461419588972 1.09196214891837 0.159826145715386
"orf19.1896" "SSC1" 9142.66699620616 1.07441380821048 1.13913809416373 0.197834474640181
"orf19.6701" "" 4959.88796911445 0.905316896132854 0.920420106372525 0.141866987241701
"orf19.7592" "FAA4" 9527.57832222135 0.929652251334256 0.873272294384472 0.173574497198756
"orf19.7015" "RPP0" 39834.0923991245 0.919363923659656 0.978424739439776 0.183827098399961
"orf19.5130" "PDI1" 5355.49630897462 1.13270710369531 1.12206521810638 0.0978990724874687
"orf19.4016" "COR1" 5359.9280255395 0.753039313881538 0.812080106607927 0.170858425836973
"orf19.646" "GLN1" 13618.2595497054 0.859186265988307 0.884471879295144 0.196338846052885
"orf19.6312" "RPS3" 33540.2193098224 0.88208098158524 0.876346299476556 0.181475897178893
"orf19.1743" "ACS1" 9455.41337400297 0.908574479759814 0.839848555418904 0.163925620715452
"orf19.5288" "YAL60" 6611.48190251118 0.910307543264916 0.895727588471054 0.198741124506248
"orf19.732" "SPS22" 24909.2199248672 0.818256792978687 0.815578263207742 0.199752814940425
"orf19.1357" "FCY21" 7452.11110061888 0.861947656823649 0.918017180194663 0.178851771707199
"orf19.1700" "RPS7A" 11405.2399935116 0.823594391956744 0.912858367594786 0.187396482447387
"orf19.4490" "QCR8/RPL17B" 5752.20402881553 0.947939875770519 0.99976712433228 0.178304787174572
"orf19.2107" "STF2/MUQ1" 25274.0232213523 1.01843479243556 1.06815001486436 0.184341923279442
"orf19.3541" "SUP45/ERF1" 4913.82938875206 0.934039700508381 0.935192086409246 0.197980757347834
"orf19.6863" "VPH1" 4122.23220914024 1.13155137027268 1.09587520065161 0.152703424239525
"orf19.1564" "" 8455.23750933286 1.19371766430559 1.15247037170398 0.195453287896973
"orf19.6415.1" "RPS29A" 7817.44558311126 1.09464777160632 1.09994251688762 0.145942225050232
"orf19.5137" "HHO1" 8401.73249426191 0.849397680624237 0.879132530185384 0.157466104236981
"orf19.6599.1" "" 5905.47132218748 0.853441853456967 0.809561023984045 0.0768382970759011
"orf19.1140" "" 4050.28775500836 1.04094587356574 1.02841394271987 0.0242270236383504
"orf19.1078" "AGX1" 4771.53553677396 0.849391857975112 0.827576049757779 0.176897929798454
"orf19.5063" "" 4046.16889888782 0.950926096996053 0.9626851751063 0.0931161955027813
