orf	chr	gene	geneflag	WtMean	MutMean	fold.mut.by.wt	p	p.paired
QC-3prime	NA	NA	0	1218.15704003263	1024.10815550208	0.840702899418159	0.00578070466071751	5.53381506646717e-10
QC-5prime	NA	NA	0	533.798727710029	423.67139144849	0.793691272487704	5.17853110790836e-13	6.7000172841082e-22
orf19.6002	Chr3	RPL8B/RPL81	1	18769.2772896549	23369.9974303456	1.24511972782386	0.100616482520554	0.227438582089272
orf19.6350	Chr1		1	413.088402318104	416.84765189206	1.00910035128767	0.95139170422933	0.967132859321302
orf19.1655	Chr3	PMP3/PXP2/POX1	1	10996.0310922091	12172.9034731462	1.10702701466268	0.87152899047564	0.45968218351212
orf19.6918	Chr7		1	886.659553911894	854.87446415984	0.964151866844698	0.948898320974426	0.747380686596707
orf19.3780	Chr4		1	316.650724368226	240.992758331108	0.761068078438574	0.212799959024930	0.0494467119177857
orf19.4163	Chr4		1	634.722993381578	420.715390565925	0.662833070414707	0.119708902147045	0.00904092483157318
orf19.3781	Chr4		1	528.115544925774	337.553552477669	0.63916609863304	0.214942948657828	0.0633560129106406
orf19.5095	Chr1	OSH1	1	1319.24245302834	1081.48435395136	0.819776798016775	0.4447609410597	0.0866443550618392
orf19.1536	Chr2	196623..197660)	1	4669.67763689889	4321.83064828874	0.925509421493781	0.686478601892183	0.571944692029266
orf19.5268	Chr1	NUT2	1	314.463801938208	268.278360446748	0.85312954557315	0.234284161639887	0.249529100371104
orf19.187	Chr2		1	1252.43712055372	915.86677348216	0.731267668812982	0.505991969811112	0.105494052010659
orf19.3295	Chr1		1	582.57510645106	414.656770104932	0.711765342379533	0.168336671662745	0.113988340780072
orf19.2444	Chr1	CHS7	1	1389.59574447111	1992.39108479827	1.43379187272669	0.0378575521730566	0.0137806273358589
orf19.4993	Chr1	SEC18	1	1952.30158422534	2189.32560870601	1.12140748457914	0.791965351332764	0.64129770134798
orf19.5662	Chr4	PEP7	1	527.282307151409	577.411522923555	1.09507092328389	0.631381206443686	0.180823830851816
