orf	chr	gene	geneflag	WtMean	MutMean	fold.mut.by.wt	p	p.paired
orf19.3197	Chr5	PAPa(PAP1)/PAP1	1	1263.99301280902	455.930293971624	0.360706340423824	0.00155567303739621	0.00366297525604105
orf19.2397.3	ChrR	TNA1	1	11808.016212426	3488.68761508577	0.295450781259472	0.0115418928846810	0.00485111354408021
orf19.1960	Chr5	CLN3/CLN2	1	781.08870633785	381.31445073639	0.488183285256025	0.0643847688612264	0.00766580671512412
orf19.3190	Chr5	HAL9c/HAL9/ZNC3	1	437.709985763757	183.687959121101	0.4196567706825	0.000636158211196381	0.00240773687262147
orf19.3981	Chr5	MAL31	1	745.442636605013	335.471275997539	0.450029632763407	0.0182709606447666	0.00400107828376434
orf19.2593	ChrR	BIO2	1	3877.86986903113	1648.43468841089	0.425087675472396	0.0273608244028275	0.00785304548756152
orf19.4000	Chr5	PHO2	1	913.136865959194	450.747644880577	0.493625503124435	0.00312550108766313	0.00116357515478132
orf19.3198	Chr5	OBPa/OBPA	1	1755.60088998661	187.845759259752	0.106997985892559	0.00697178960026562	0.00480953812888826
orf19.6329	Chr6		1	1669.01016848417	676.099082221485	0.405089852050171	0.0322798447769358	0.0094700597429319
orf19.4301	Chr5		1	769.103187250686	380.401988563756	0.494604618560454	0.00609902973626635	0.00408253745205397
orf19.6298	Chr5	SBP4	1	465.180742736084	219.113433551604	0.471028599040514	0.000150756064631450	0.00169978699279910
