orf	chr	gene	geneflag	WtMean	MutMean	fold.mut.by.wt	p	p.paired
orf19.5464	Chr3		1	258.956762681901	156.788778984499	0.605463156708892	0.0235658188434671	0.0851501815202773
orf19.7557	ChrR	FGR46	1	238.865799523557	178.360691874810	0.746698322784464	0.111348313198439	0.173716529367808
QC-LLD-3	NA	NA	0	287.574052328304	209.690690188651	0.729171107375364	6.78891202156242e-06	6.7736551318248e-07
QC-LLD-4	NA	NA	0	258.703151411713	222.203546182074	0.858913178944808	0.105978866786274	0.0649773457402062
orf19.4356	ChrR	HGT3/YDL199C	1	267.617554494419	209.543819027288	0.78299728664346	0.0482804337639636	0.0748693260250683
orf19.5616	Chr6		1	263.570442436635	184.238120421075	0.69900903423709	0.0263403021861760	0.0265330039617613
orf19.5461	Chr3		1	258.398342074156	175.310485731920	0.678450505234315	0.0268228031769218	0.111259417428157
orf19.2585	ChrR		1	266.963540572541	186.851016651812	0.699912116280314	0.0577728409557997	0.187178990738685
orf19.1577	Chr2	GAT2	1	282.281255063362	216.961951890316	0.768602052026501	0.184929774236861	0.0899020658720907
orf19.2169	Chr2		1	232.154372711031	157.574349517570	0.678748143648829	0.0796252543038502	0.164947760268289
orf19.3655	Chr6		1	240.739692410639	162.75043474751	0.676043211311826	0.00576587481373559	0.0200089544526764
orf19.4365	ChrR	TRM1	1	289.344289248457	205.501127999452	0.71023046120323	0.0315086308745219	0.0466393523728551
orf19.6280	Chr1		1	223.682365777856	146.842964062555	0.656479841635741	0.0176573361918021	0.097723407924324
orf19.2652	Chr5		1	280.145557389601	217.751177768972	0.777278711102826	0.138371238176942	0.130737147504475
orf19.6301	Chr?		1	262.392604776267	172.961695142831	0.659171379049763	0.135543967523590	0.113395820379862
orf19.3637	Chr2		1	241.686432886731	169.922745837464	0.703071098397566	0.113393421001878	0.157033699737679
orf19.4976	Chr1		1	288.16097302223	204.880029116684	0.710991592539071	0.0739342720473575	0.211318564411133
orf19.1497	Chr2		1	281.664746886023	203.976071721907	0.724180338423564	0.127656313395497	0.0197810421602266
orf19.2468	Chr1	TMT1	1	248.706577628989	169.958909607518	0.683371188763077	0.00466419029393127	0.00951437196997506
orf19.5036	Chr4		1	270.769966787211	198.528116588715	0.73319843756797	0.139770232665668	0.0681963919784666
orf19.4017	Chr5		1	277.502748951372	181.997354692100	0.655839826379495	0.00364121475657085	0.0201138075614270
orf19.6502	Chr7		1	247.903185075114	180.520199075416	0.72818830068972	0.0482668250816099	0.0432885825262996
orf19.1227	Chr4		1	238.474590726177	159.136832876362	0.667311483339907	0.0174952795340099	0.0497445939132032
orf19.6493	Chr7		1	280.056280078347	183.502663911146	0.655234954416344	0.00441624737869225	0.0257141444855871
orf19.2943.5	Chr1		1	246.455387279132	179.424993617769	0.728022201497079	0.135806473783602	0.115936513388916
orf19.4948	Chr1	REX3	1	249.794868495139	211.224203172458	0.845590641813238	0.533077885622913	0.386540626094136
orf19.6575	Chr7		1	263.220034066573	171.719474891482	0.652379958464904	0.108834357013873	0.174103874929797
orf19.2510	Chr1	CIN1	1	264.125792072445	179.084818605184	0.67802851512534	0.0470960486095073	0.00675327414630095
orf19.2625	ChrR		1	264.519629382717	189.309614550605	0.715673218627963	0.0505958644256159	0.097894637325583
orf19.4590	Chr4	RFX1	1	257.573701010804	193.583460272078	0.751565317081648	0.113150119712580	0.0615924892870666
orf19.5304	Chr4		1	284.355419139552	188.264054845945	0.662073033162597	0.0805875622437204	0.187862100337564
orf19.3073	Chr4		1	284.771844910298	195.347898961531	0.685980382025001	0.0798251628301406	0.159936894773491
QC-oligoB-AS-3	NA	NA	0	282.032102815463	206.762102520853	0.7331154874101	4.54883750624735e-113	5.86383010076411e-108
orf19.3904	Chr5		1	272.322268217018	188.239618591841	0.691238435344661	0.0187440927228414	0.0250984538287412
orf19.3471	Chr2		1	269.97573543054	222.431328504817	0.823893777528184	0.327802050250175	0.395849729940806
orf19.133	Chr6		1	288.753723293603	192.369392859640	0.666205757160194	0.165029347933473	0.246393983890904
orf19.7464	ChrR		1	260.312227776541	184.820740720551	0.70999638510722	0.0120136806936322	0.0340546816228698
orf19.1958	Chr5		1	236.938788590343	134.597665132157	0.568069356363895	0.132601010827163	0.151467795759114
orf19.4970	Chr1		1	242.295575771763	187.540316752920	0.77401461481731	0.0613524583768161	0.123341668220817
orf19.2457	Chr1		1	283.492101653675	176.214181991919	0.621584096925524	0.0178370415769947	0.0226254456231469
orf19.1620	Chr3		1	232.898633639381	155.70750404503	0.668563407229459	0.0646574889150648	0.0902823702973919
orf19.4275	Chr5	RAD9	1	243.177009921397	153.961866027358	0.633126733802357	0.00703970733915721	0.0111903413391483
orf19.218	Chr2	BUD20	1	240.987614376894	190.426890700479	0.790193683575206	0.237721432808879	0.164573526253812
orf19.723	Chr1	USV1/BCR1	1	281.377655254019	212.131526357379	0.753903241413655	0.136995895461518	0.0914222279985411
orf19.6977	Chr3	GPI1	1	254.575739058461	151.201325656272	0.593934544648618	0.0055866098511149	0.00486964181082564
orf19.3529	Chr2		1	254.194857921791	167.956273293929	0.660738280337696	0.0066727365865209	0.0156153255973537
orf19.2282	Chr2	HQD1	1	262.266882750196	181.415312325849	0.691720244750243	0.0213308354494056	0.0150412090394214
orf19.4095	Chr2		1	232.799248131266	168.020042537018	0.721737908888254	0.252780773137987	0.328780199446969
orf19.2713	Chr4	MSH5	1	235.577251588073	162.851215564974	0.691285828606801	0.00929024189830157	0.0250979569465108
orf19.6181	Chr3		1	239.177242233236	159.878764730569	0.668453082064815	0.0640410282535879	0.118401077098878
orf19.4239	Chr5		1	251.466497331611	185.251192269564	0.73668339216286	0.166402150245304	0.0720824214269275
orf19.5724	Chr6		1	273.751411636767	212.280521140629	0.775449959769697	0.317295394391504	0.100171140096965
orf19.3572.3	Chr2		1	265.206298366768	219.523730878156	0.827747049108783	0.261546968422144	0.164796135178903
orf19.6488	Chr7		1	262.708474114092	177.568731035497	0.67591550533075	0.0229122294935902	0.00580005968519679
