"","orf","chr","gene","geneflag","WtMean","MutMean","WtMean2","MutMean2","sd.wt","sd.mut","fold.mut.by.wt","sd.ratio","p","p.paired","start","end","strand","chr2","loc"
"2688","orf19.362","Chr4","CTA2","1",5423.4815428824,11233.0878281579,6656.20800266654,6572.57546701302,6438.19918288386,6611.66436773078,0.987435408325579,0.510159487859586,0.941814762996685,0.697789584949299,983,1660,"W","4",1321.5
"5149","orf19.364","Chr4","VMA6","1",2923.69927346549,5216.14548494983,3441.12353313712,3297.09286245769,527.502558161715,758.351645404027,0.958144289418136,0.313714304891804,0.62937531132394,0.661741462394419,2845,3891,"W","4",3368
"1178","orf19.366","Chr4","RAD17","1",575.611264974602,1307.15017913373,436.416766757728,628.53479046822,113.220893540468,195.922657204930,1.44021687145018,0.347357559000285,0.0698527787296998,0.0198727050882979,4904,3894,"C","4",4399
"1459","orf19.367","Chr4","CNH1(NHA1)/CNH1","1",765.950044208665,1195.72712630936,685.126866908574,576.495771446751,337.376972536026,224.183371261345,0.841443824919628,0.407513349264466,0.633849468183473,0.424001862973948,5033,7435,"W","4",6234
"4923","orf19.371","Chr4","","1",1441.15937223696,2411.83313167977,1629.98895189515,1410.94018220765,485.005536169804,359.804883677334,0.865613340855584,0.0796883736125935,0.577774353058473,0.119977379271485,7507,8355,"W","4",7931
"5821","orf19.372","Chr4","","1",443.63786966166,799.803713527851,269.500331729987,292.628371032216,66.2060815619272,59.8164783508902,1.08581822201763,0.116003725391121,0.645836075698963,0.277369233771839,8369,8995,"W","4",8682
"5199","orf19.374","Chr4","","1",3224.41110180402,6383.43776037083,3828.80089581227,3902.61829812839,1526.88541144770,1321.21624516063,1.01927950925755,0.359152221292635,0.878414649044597,0.800014066869245,11315,8937,"C","4",10126
"3288","orf19.376","Chr4","BDE99","1",1239.53571428571,2280.19869515921,1304.52575366530,1216.15612124645,478.114549900537,564.114466622961,0.932259189080353,0.375037359122008,0.695946779107505,0.60245362296442,12630,11383,"C","4",12006.5
"2169","orf19.377","Chr4","PHR3(GAS1)","1",220.936561830421,315.036230535205,10.8698297687721,16.2208632826135,18.1801261025532,27.0348793326235,1,12.3057548346895,0.921558011723117,0.900185445801922,12792,14307,"W","4",13549.5
"1109","orf19.5633","Chr4","","1",491.841804029304,734.885294303398,318.255682352733,283.384305960295,150.123497059798,172.312549892452,0.890429681774577,0.620705188664042,0.815083326974337,0.699267335049978,15704,14304,"C","4",15004
"4495","orf19.5634","Chr4","FRP1/FRE5","1",238.406648667425,374.811450044209,29.6523236536954,33.3224203590350,49.7235247002184,38.910525942429,1,20.5260882475031,0.655845387019323,0.404036334943866,17454,15790,"C","4",16622
"2507","orf19.5635","Chr4","RBT6/PGA7","1",391.64628469937,576.921900656814,200.801000812578,170.005979361010,117.854399236594,143.658858353093,0.846639103754711,0.404413889651513,0.477102316613732,0.206868225750524,17801,18460,"W","4",18130.5
"229","orf19.5636","Chr4","RBT5","1",736.307211857008,769.589273664932,654.797101287811,315.8364130488,210.922433291645,142.568682815632,0.482342411760275,0.199329488862187,0.0106309173081707,0.0105200570434835,19713,20438,"W","4",20075.5
"725","orf19.5639","Chr4","HIS4","1",1565.57549632741,4178.02096135998,1619.81168438052,2286.04322236868,1019.42094923349,1838.30298165574,1.41130184725328,0.393080701610336,0.624464891847327,0.131086582743163,23694,21178,"C","4",22436
"1048","orf19.5640","Chr4","PEX5","1",911.23796479074,1974.7178207455,852.562143538887,1087.7414087625,639.189202525878,888.135249189591,1.27584999757016,0.556256082765121,0.747956178850077,0.440705946451122,25631,23853,"C","4",24742
"5066","orf19.5641","Chr4","CAR2","1",1466.35976107763,3892.28952257412,1520.57060130115,2126.80266100713,505.56874954301,868.256771655688,1.39868721596171,0.350070449049395,0.187195997894209,0.0255843011137044,27186,25876,"C","4",26531
"1696","orf19.5642","Chr4","","1",7337.2747657885,16509.7828723001,9381.06678251534,10172.1725373840,2523.01510872561,1790.53753282389,1.08433004190346,0.426390435258308,0.641887243787782,0.743086838920926,27530,27943,"W","4",27736.5
"2620","orf19.5643","Chr4","ECM7","1",439.641838764684,834.284983356738,251.996719672169,334.56180649456,142.879743245336,237.041506721932,1.32764349841459,0.896459248989352,0.931694602351701,0.864199518749016,28147,29691,"W","4",28919
"4207","orf19.5644","Chr4","SMA2","1",332.502278020427,516.026268115942,135.615589280592,116.742337874394,138.763348757446,161.824240634167,0.862231006481454,2.08274902346189,0.66758554627161,0.526220701132037,29746,30663,"W","4",30204.5
"5732","orf19.5645","Chr4","MET15/MET25","1",17130.5696197171,31661.1233862959,20301.4531623452,18006.7381807108,6719.16478416288,7970.37301735003,0.886967944447908,0.401851228829075,0.521937629882229,0.391904010629881,31982,30660,"C","4",31321
"5194","orf19.5646","Chr4","","1",422.195197441765,746.692717370349,237.445616431529,218.300945649179,105.711167771388,203.046834219094,0.919372397477506,0.610713115357722,0.553760260621897,0.467776733120713,32585,33277,"W","4",32931
"5379","orf19.5647","Chr4","SUB2","1",2823.61468976930,6427.47168242802,3199.76396863379,3643.26761878075,973.417883203722,1166.51347466553,1.13860511415669,0.19751741840657,0.581757986597109,0.161310027399377,34763,33383,"C","4",34073
"1462","orf19.5648","Chr4","","1",275.658740684603,410.80914487811,72.6443936568121,72.1164853519848,87.1678516556268,78.1280714787461,1,11.5877235961877,0.762913928315371,0.477247181873556,34782,35390,"W","4",35086
"676","orf19.5649","Chr4","","1",246.016081871345,328.479506126058,34.3630580903706,24.7051195467096,44.0624491380088,42.2131719927745,1,0.514262997528282,0.627678653669824,0.397195001984318,35436,35975,"W","4",35705.5
"1376","orf19.5650","Chr4","PRO3","1",1500.24118195023,3729.36754546623,1626.93444017356,2187.07120887671,797.478770277201,1136.19795557245,1.34428969900188,0.0990429889519419,0.414798425599901,0.000284473065806768,36235,35411,"C","4",35823
