"orf","chr","gene","geneflag","WtMean","MutMean","WtMean2","MutMean2","fold.mut.by.wt","p","p.paired","chr.combimatrix","start","end","strand","chr2","loc","sd.wt","sd.mut","sd.mut.vs.wt.ratio"
"QC-3prime",NA,NA,"0",892.254911364696,1367.99259469541,1149.01696864075,988.240915703697,0.860075127413266,0.133167595609234,0.00867922517744324,NA,NA,NA,NA,NA,NA,701.723156195828,495.214397558693,0.417640020154501
"QC-5prime",NA,NA,"0",425.258880916363,635.146353357803,450.954824399769,407.196284583777,0.902964693028319,0.149425824760817,0.197310795977666,NA,NA,NA,NA,NA,NA,167.126667750717,130.372845249653,0.761256250493194
"orf19.6002","Chr3","RPL8B/RPL81","1",14542.8984145266,34636.7505566428,18987.9507340297,22448.6608754394,1.18225822206329,0.216512538243826,0.348805966786397,"Chr3",1154056,1153268,"C","3",1153662,5139.43994305939,4031.99324996599,0.762713219566619
"orf19.6350","Chr1","","1",327.943191865606,602.396770912789,328.670818553032,400.80837451994,1.21948269178412,0.513124455720071,0.558453756749745,"Chr1",2773130,2772588,"C","1",2772859,205.765940802074,68.8411968604348,1.80022941237107
"orf19.1655","Chr3","PMP3/PXP2/POX1","1",7974.38140056153,15004.1735149632,11107.0492921175,11770.7607102820,1.05975587221311,0.936794228373096,0.775747475471326,"Chr3",425343,427517,"W","3",426430,11495.7283723014,12962.7052954441,0.491659287111385
"orf19.6918","Chr7","","1",649.737198876945,1132.38616355273,811.835126555156,825.592335048607,1.01694581577398,0.849480491405371,0.734484202759269,"Chr7",278056,279504,"W","7",278780,893.164908858403,831.591086473617,1.85350674030544
"orf19.3780","Chr4","","1",257.593980253463,369.645767956103,230.365857676989,231.348081038085,0.9905400251804,0.459719990305842,0.468745298692449,"Chr4",1068184,1069482,"W","4",1068833,127.098643695729,89.9220640104515,0.946431420018635
"orf19.4163","Chr4","","1",529.086961327029,670.516199221577,552.368043579982,402.679841154904,0.729006404036471,0.257352293589822,0.114195161646649,"Chr4",138776,135558,"C","4",137167,254.260508200083,158.803308108119,0.29973840025491
"orf19.3781","Chr4","","1",409.431823923203,512.85846362533,445.596849342376,323.748178007074,0.72654952225284,0.864817497447923,0.840847008680979,"Chr4",1067100,1065700,"C","4",1066400,347.126224874033,167.251044331875,7.24010027974325
"orf19.5095","Chr1","OSH1","1",1073.77048597954,1692.07448089985,1246.67238279597,1035.96185050123,0.830981631419342,0.563085165356465,0.101165899340598,"Chr1",1789412,1785456,"C","1",1787434,540.2776805585,466.224794776483,0.202036712648898
"orf19.1536","Chr2","196623..197660)","1",3731.47808264029,6556.96886998471,4649.18582192272,4148.84110622441,0.892380142488821,0.459853572470374,0.30933266669802,"Chr2",433198,434634,"W","2",433916,1250.75080095034,1625.08602683391,0.31435699182638
"orf19.5268","Chr1","NUT2","1",252.189994631805,402.984353599972,228.425599358909,257.533590072829,1.12742875927923,0.303912757601177,0.343989528722309,"Chr1",2621047,2621559,"W","1",2621303,176.452418448335,42.4516542480135,6.28548704669492
"orf19.187","Chr2","","1",974.468169761273,1378.09256969019,1181.69306294604,879.118616491974,0.743948360245317,0.84382777652081,0.630381640847488,"Chr2",1003198,1004409,"W","2",1003803.5,1015.71012827447,669.048940941835,0.826320204660491
"orf19.3295","Chr1","","1",476.913272072755,607.277401279117,499.996157391919,398.525947034842,0.79705801963286,0.658268549024874,0.616869257704234,"Chr1",210509,209085,"C","1",209797,265.803239899312,125.923548379371,0.56796042979595
