orf	chr	gene	w1	w2	w3	m1	m2	m3
orf19.3930	Chr5	YUH2	478.344827586207	748.58602899184	437.107333037902	496.288752073127	388.636441260323	850.393151088078
orf19.3930	Chr5	YUH2	784.172413793103	699.130800174735	1112.93842760403	352.978671983354	651.632732366864	1139.03712731442
orf19.922	Chr5	ERG11(ERG16)/ERG11/CYP51/ERG16/L1A1/P45014DM	1781.81034482759	1946.97471040412	1317.76378200053	1307.00126094124	675.250850494274	1056.28681611357
orf19.922	Chr5	ERG11(ERG16)/ERG11/CYP51/ERG16/L1A1/P45014DM	2735.41710875332	1782.43251656315	1208.25980764033	642.883881882036	1252.15138557513	1566.42021354488
orf19.4280	Chr5		106.494031830239	85.9271438112696	318.707029188161	0	22.1311961711474	214.531162559966
orf19.3170	Chr5	BUD27	323.913793103448	468.038084650062	229.826189446042	245.830378131585	226.212045253410	316.736296914858
orf19.3170	Chr5	BUD27	453.647877984085	647.148416926674	243.786968449930	289.791656946909	257.917616569001	288.468946190899
orf19.1283	Chr5	MEC1	438.206896551724	655.881266485771	381.271382520555	339.881825039201	239.292570760796	230.320078860569
orf19.1283	Chr5	MEC1	641.141009852217	749.269494647944	368.564565702645	360.837350570008	509.361512597046	238.176982673764
orf19.971	Chr5	SKN7	910.174365647365	952.210346312344	1296.63033929285	490.430536998368	335.331976827101	1473.11112162894
orf19.971	Chr5	SKN7	264.667108753316	313.438153239399	135.917558463003	105.607411964362	117.566841232364	456.489732857715
orf19.1280	Chr5	SUI1	1803.45557029178	2634.7453349949	10172.6719149117	1720.20507076878	1600.50039578547	10749.4880509133
orf19.1280	Chr5	SUI1	6807.0780399274	6804.12980851248	21410.0201273152	3557.60085938717	5622.50259421403	26181.1491292935
orf19.1111	Chr5	TAF9	583.464767616192	623.191709756810	500.435629047408	247.326019799162	271.816704266206	864.038670069532
orf19.1111	Chr5	TAF9	391.706896551724	437.890495002764	962.902749725842	271.773017096539	252.457834654862	844.374062647029
orf19.3216	Chr5		469.090185676393	546.038348421282	125.028389689910	271.702355047917	220.768334412606	57.3461433746803
orf19.3216	Chr5		2324.81034482759	2883.12194530140	756.423429573538	1159.80180047405	1093.15945540872	436.333783642164
orf19.3171	Chr5	ACH1	3423.34417696812	5073.77125712347	2327.69935342192	3457.08997455291	3264.54541708396	2256.14050991920
orf19.3171	Chr5	ACH1	4915.1833030853	4715.48714633262	1384.97615516895	6160.29287390998	4566.03992778499	2317.31015424053
orf19.2653	Chr5		0	57.0009739228795	0	0	36.3846443944646	0
orf19.2653	Chr5		16.4640048396855	59.8651093815458	0	0	38.5271442620538	0
orf19.972	Chr5		123.815875081327	132.946120365606	0	150.122431070405	85.6012848020831	12.0224821810646
orf19.972	Chr5		44.7096188747731	13.9478284667454	16.8474864361601	103.350829799246	23.9460320889912	242.047091235214
orf19.1964	Chr5		404.948275862069	465.403713861662	0	280.020221865846	267.163796488549	38.2094320451585
orf19.1964	Chr5		157.155172413793	143.659228238432	875.412268056597	79.0138535417423	66.4416689146614	626.840900264617
orf19.6294	Chr5	MYO1	484.551724137931	444.299256686824	13.7295887341974	144.651531286373	144.767450669433	0
orf19.6294	Chr5	MYO1	467.724801061008	550.232245337108	139.373717097498	78.9613748867396	211.690829610161	75.2740282583836
orf19.4347	Chr5	PRR1	1336.41137326074	1653.78092113162	682.747777023678	681.319362890049	208.555646865347	1351.03432509630
orf19.4347	Chr5	PRR1	648.783866995074	763.965736546975	1415.91414083513	361.683795083026	261.401586194364	1812.70828595075
orf19.1117	Chr5	FDH3	342.301724137931	504.442580021187	765.117567396319	463.879189667816	309.170925812329	1665.08017494589
orf19.1117	Chr5	FDH3	429.586811857229	375.177410403454	1675.36181231902	392.075269960367	418.408269194522	3034.16511217686
orf19.4337	Chr5	ESBP6	1006.07095490716	1027.25227991333	0	385.226805482515	309.000012795128	0
orf19.4337	Chr5	ESBP6	115.646063760573	150.734395498705	1055.64021983550	11.4806695952203	90.006643901172	615.794560250026
orf19.3969	Chr5	HSR1	214.656987295826	281.775525287393	283.462332014273	0	53.4689922630484	169.876373287771
orf19.3969	Chr5	HSR1	472.224137931035	480.198582450308	260.793001829145	170.628465512711	121.918084338006	123.027337747500
orf19.1946	Chr5	@	111.186339522546	216.582220991408	1629.49013341958	8.25950693434786	45.406845861881	1218.75425518077
orf19.1946	Chr5	@	4095.0324933687	2608.60234107573	123.32300111698	1228.26266182272	1526.01642425764	120.634589983291
orf19.1980	Chr5	GIT4	6.4655172413793	6.44350305798545	0	0	0	0
orf19.1980	Chr5	GIT4	79.0689655172414	88.1090430324008	18.7258353106043	65.8285914723131	53.5397846769983	0
orf19.3995	Chr5	RIM13	304.859416445623	386.260918469431	122.119197418441	147.940003526488	137.773232272815	91.7546341352837
orf19.3995	Chr5	RIM13	350.109416445623	294.320148089297	614.61443143072	118.636142873180	175.677152833825	839.811356199001
orf19.5684	Chr5	MRPL14	1115.86206896552	1281.08017768706	2668.03026386161	981.095693710707	781.527928731788	2143.44142919195
orf19.5684	Chr5	MRPL14	1804.56958128079	1398.37240088486	2237.03627409103	920.165260839379	1527.93988280587	1657.66647584233
orf19.4229	Chr5	DDP1	400.762250453721	362.713431605277	448.586378801206	171.323807691497	161.688440915958	709.945438918153
orf19.4229	Chr5	DDP1	1103.59018567639	866.279680119303	1670.42253401970	836.480492287823	582.75239331334	1889.68931211363
orf19.4024	Chr5	RIB5	6653.60344827586	6316.46995363597	6115.21555319043	4278.63133979681	3224.25437765275	7060.56021487714
orf19.4024	Chr5	RIB5	1996.58743842365	2060.97937728142	2182.51760194555	1645.92062980805	1309.98638207361	3552.79299846554
orf19.4025	Chr5	PRE1	5351.83242589232	4775.8668367703	4258.86401697891	4905.06904456407	3570.8982398304	5159.50386595436
orf19.4025	Chr5	PRE1	2478.05172413793	3087.80693210846	6238.88216877308	1372.36998557899	2114.08315509950	6379.405827662
orf19.3977	Chr5	GIR1	1018.48154869933	844.823973506011	0	734.730123778534	463.733002394993	0
orf19.3977	Chr5	GIR1	61.6745311554749	137.161113627045	616.380932643518	44.6187807816671	55.8866926591631	791.722946732102
orf19.2652	Chr5		0	0	0	0	0	0.641776796622377
orf19.2652	Chr5		15.9026013309135	21.6623389167163	0	91.3200981398762	36.3770737235544	0
orf19.4134	Chr5		439.689655172414	516.711221121449	147.934098953774	505.187306617063	243.690162879887	548.551507821476
orf19.4134	Chr5		497.763262599469	472.932279631776	425.360986304029	203.952411439428	374.328854264732	821.057848902655
orf19.925	Chr5		81.2183908045977	100.104297870221	244.035372387724	0	43.3420909609467	369.780121544783
orf19.925	Chr5		905.060496067756	897.616147878458	0	521.8156247908	771.575117101717	40.224048106799
orf19.3922	Chr5	SDT1	506.797338173019	597.774573667352	3740.66663507547	384.098514399957	257.474732320754	5558.52846277903
orf19.3922	Chr5	SDT1	1051.04295220811	920.379879958713	1985.88246112628	536.008569104097	578.447593361935	1963.0201908324
orf19.6665	Chr5	NUP4	1919.68965517241	1989.34521773549	1024.91777709477	641.368560718833	519.11857487583	681.744670501055
orf19.6665	Chr5	NUP4	5232.25760649087	6350.20479529159	5235.81850230897	2253.61621630418	2281.1404824434	5059.78771235252
