"","orf","chr","gene","geneflag","WtMean","MutMean","WtMean2","MutMean2","fold.mut.by.wt","p","p.paired","chr.combimatrix","start","end","strand","chr2","loc"
"205","orf19.427","Chr1","RIF1","1",324.721982632166,496.537703675635,317.904231415749,303.282503534046,0.954005872093659,0.835855811720753,0.854383650999246,"Chr1",1133458,1128461,"C","1",1130959.5
"330","orf19.7452","Chr3","SLD3","1",296.510860291851,402.704728270143,276.348089147972,249.236645825309,0.901893863618702,0.872544997045108,0.86821419864286,"Chr3",1515458,1517668,"W","3",1516563
"458","orf19.4428","Chr1","","1",317.869365840022,505.740592689517,302.373281655351,310.267988605077,1.02610914200655,0.847952360121728,0.875551593700211,"Chr1",1603715,1602276,"C","1",1602995.5
"480","orf19.1341","Chr7","PRR2","1",307.880621092962,460.840880383984,290.561221127772,290.634750944617,1.00025306135678,0.769150501329023,0.802416091803077,"Chr7",738814,737858,"C","7",738336
"527","orf19.3111","Chr4","PRA1/FBP1/mp58","1",310.467297221834,445.223982535915,300.027982623401,287.42715582943,0.958001161479036,0.777672588498857,0.803458691069021,"Chr4",1547343,1548242,"W","4",1547792.5
"746","orf19.276","Chr3","","1",344.380173189384,565.790490400404,349.438490518306,356.662221079563,1.02067239516329,0.741933402810865,0.80620838814548,"Chr3",617525,616113,"C","3",616819
"752","orf19.2778","Chr1","","1",299.203769066884,422.395052130528,294.752410509197,268.11690105685,0.909634294741362,0.781646688282623,0.815183467786908,"Chr1",1660298,1662526,"W","1",1661412
"827","orf19.7556","ChrR","","1",368.331832565499,574.164614121511,376.683084194685,352.682587391849,0.936284644015414,0.999952971723226,0.99995809621254,"ChrR",2099610,2098966,"C","R",2099288
"838","orf19.258","Chr3","","1",293.257162579304,429.015315144625,285.031920907281,269.968113443622,0.94715045453257,0.764507527028493,0.809833825094274,"Chr3",576639,577397,"W","3",577018
"938","orf19.780","Chr1","DUR1","1",369.399734277116,593.886736901937,371.640451353412,363.41948703805,0.977879253226005,0.88038536990935,0.883533893867441,"Chr1",965255,970696,"W","1",967975.5
"960","orf19.7272","Chr1","","1",348.658045977012,522.859400656814,354.445528171499,334.589834514195,0.943980972874068,0.914473210125914,0.932724994454401,"Chr1",3183160,3182828,"C","1",3182994
"1033","orf19.4846","Chr1","","1",361.246242263484,591.114781551532,358.267261532734,364.458210700092,1.01728025368791,0.830731782620298,0.818021296988135,"Chr1",2148288,2149529,"W","1",2148908.5
"1044","orf19.6744","Chr3","","1",351.459077484826,533.064076941913,356.435788325338,338.324237210061,0.94918705778572,0.815079575492875,0.843854662259932,"Chr3",1703821,1702850,"C","3",1703335.5
"1163","orf19.6008","Chr3","","1",306.816801342437,483.612848434083,290.536577706256,295.259088626075,1.01625444533388,0.806636652025411,0.834984084621156,"Chr3",1166764,1163939,"C","3",1165351.5
"1194","orf19.6804","Chr3","SRP68","1",379.312737524625,602.047635944415,378.879606146425,363.706251433637,0.959952041580923,0.932769394485763,0.92445099630538,"Chr3",1595958,1597778,"W","3",1596868
"1224","orf19.937","Chr5","","1",298.098973118029,438.263896921792,289.579571130588,292.148966703262,1.00887284818692,0.851333715250261,0.893475688276829,"Chr5",105031,105504,"W","5",105267.5
"1376","orf19.4196","Chr6","","1",278.648094595463,402.925492610837,267.161242293556,259.915505055165,0.97287878594894,0.770501365578419,0.815254746040521,"Chr6",111559,111227,"C","6",111393
"1442","orf19.5056","Chr1","APC10","1",340.466868292526,524.092099169232,324.929681307456,307.498823881512,0.94635498562087,0.949025746518103,0.942670157508298,"Chr1",1709994,1708555,"C","1",1709274.5
"1485","orf19.2663","Chr1","LRR","1",362.780488189971,598.102029655598,366.912683011077,367.177490867723,1.00072171900539,0.890045418365938,0.906678721814924,"Chr1",1294938,1296692,"W","1",1295815
"1531","orf19.4575","Chr4","","1",336.562165455993,501.869031830239,329.102625521478,317.036245667625,0.963335510208304,0.804460623855938,0.809893603221885,"Chr4",429975,427661,"C","4",428818
"1662","orf19.7594","ChrR","","1",253.771022383545,353.16091954023,227.299646730705,217.360109100748,0.956271213911157,0.794945902787633,0.820002444240431,"ChrR",2176894,2177535,"W","R",2177214.5
"1675","orf19.5717","Chr6","","1",297.521144816063,437.021677757612,279.057845564579,272.797293609948,0.977565397088314,0.998264652366746,0.99873759609186,"Chr6",747492,747145,"C","6",747318.5
"1707","orf19.4171","Chr4","","1",368.296453156688,546.633687999841,369.037489552724,340.265664758388,0.922035496097677,0.928502978209017,0.938661827186908,"Chr4",121072,123009,"W","4",122040.5
"1720","orf19.530","ChrR","","1",320.888629620027,482.139939304599,309.073632705481,297.366491775412,0.962121838645405,0.94773922222916,0.955021934163409,"ChrR",977544,978869,"W","R",978206.5
"1741","orf19.7324","ChrR","THI13","1",354.578627437294,575.15756824812,358.736799970355,368.132672248108,1.02619154845148,0.780231660464652,0.82332651996878,"ChrR",1972399,1973418,"W","R",1972908.5
"1905","orf19.3455","Chr6","LPE10","1",318.682471011458,458.548724204025,305.866622812387,293.946132409877,0.961027161797182,0.9720171130385,0.97776374192942,"Chr2",449131,447770,"C","6",448450.5
"2054","orf19.4472","Chr1","","1",270.826775714707,389.049808429119,247.252939586575,239.595937800974,0.969031705756847,0.819971817404631,0.855611854986833,"Chr1",837523,837840,"W","1",837681.5
"2206","orf19.1836","Chr1","APN2","1",345.388294454084,560.63011388766,349.698982804633,341.10013824679,0.975410724707062,0.820735310198818,0.837340918550739,"Chr1",2361112,2362467,"W","1",2361789.5
"2248","orf19.805","Chr2","","1",378.721669059918,603.387521910435,375.758406178384,361.760347364596,0.962747183872336,0.998387727548121,0.998044816417452,"Chr2",875633,876490,"W","2",876061.5
"2355","orf19.4097","Chr2","","1",366.006221483195,601.83794034157,364.94320859624,359.324699270571,0.984604428323846,0.986781878015375,0.985600158071932,"Chr2",1906240,1908813,"W","2",1907526.5
"2427","orf19.4323","Chr5","","1",333.559921962096,491.59549071618,337.635396477726,331.978256327334,0.983244825011218,0.8379562635881,0.831253217905014,"Chr5",660201,659698,"C","5",659949.5
"2550","orf19.1955","Chr5","SHR5","1",317.41935102311,428.2302379512,312.402776509515,285.997180331385,0.91547579546776,0.841392791474113,0.840282008266412,"Chr5",266079,266809,"W","5",266444
"2574","orf19.1334","Chr7","","1",300.741149836688,449.692366831092,280.819176522483,274.134280749914,0.976195016824169,0.858078230392119,0.868867299209829,"Chr7",751279,749315,"C","7",750297
"2700","orf19.6957","Chr3","","1",311.948717948718,462.963150375452,305.585766749274,284.732325151558,0.931759120133282,0.925620726622332,0.939567440694982,"Chr3",765900,765592,"C","3",765746
"2741","NC-bacteria-9-9",NA,NA,"0",327.662024756852,479.849112447343,330.813808130087,324.118387571458,0.979760758486851,0.81839715468299,0.847635547108266,NA,NA,NA,NA,NA,NA
