"","orf","chr","gene","geneflag","WtMean","MutMean","WtMean2","MutMean2","fold.mut.by.wt","p","p.paired","chr.combimatrix","start","end","strand","chr2","loc"
"158","orf19.5879","Chr3","AYR2","1",882.644937146811,1496.31049537526,1077.13048520764,1022.44138639107,0.94922704392122,0.987314239715196,0.979783849840919,"Chr3",904474,903581,"C","3",904027.5
"175","orf19.4191.1","Chr4","RLP24","1",965.759378413984,1889.46244808013,1103.97097911831,1112.00066971869,1.00727346166907,0.923540029387749,0.817414842993646,"Chr4",86317,89234,"W","4",87775.5
"195","orf19.6152","ChrR","","1",958.883432193437,1668.64234725721,1232.83852909030,1181.63507092277,0.958467019841347,0.942080843788594,0.891361061983577,"ChrR",1569246,1570840,"W","R",1570043
"219","orf19.5735.3","Chr6","CDC50","1",1026.03145920172,1765.72199544627,1198.27217980094,1086.57429799179,0.906784215062303,0.953394322995021,0.904805336900534,"Chr6",780745,780449,"C","6",780597
"266","orf19.7254","Chr1","","1",889.576361701066,1587.78753789314,1040.51223157510,1051.28260737933,1.01035103238327,0.986523961990165,0.98168238110246,"Chr1",3167506,3165707,"C","1",3166606.5
"371","orf19.3307","Chr1","","1",820.637222061564,1461.19856887954,950.174178303505,943.227933368707,0.992689503573755,0.87004963702299,0.893410144452899,"Chr1",242511,241120,"C","1",241815.5
"460","orf19.6499","Chr7","RPO42","1",897.361414687393,1632.65281988127,1148.31483379346,1102.48813300120,0.96009221561576,0.95839419571202,0.938301556982839,"Chr7",472192,475848,"W","7",474020
"535","orf19.944","Chr5","IFG3","1",1202.88865795197,2004.41054947271,1482.04006951003,1378.58337647428,0.930193052695295,0.984579001764237,0.967251348314567,"Chr5",81598,80483,"C","5",81040.5
"582","orf19.4086","Chr2","","1",896.29918008029,1675.82652046230,1075.03555041330,1089.59855720250,1.01354653507374,0.852623301974616,0.822087187360256,"Chr2",1893505,1894155,"W","2",1893830
"626","orf19.1567","Chr2","VAM6","1",1043.58312046141,1987.29563755210,1282.79271356138,1369.67914255076,1.06773224393219,0.942316988220981,0.858458801305578,"Chr2",484563,487667,"W","2",486115
"660","orf19.3613","Chr2","PAF1","1",864.333099590315,1493.92074336482,998.91966507979,977.3978465816,0.978454905583952,0.95470313406324,0.927596992359547,"Chr2",1757136,1755733,"C","2",1756434.5
"715","orf19.4735","Chr1","","1",904.575446823292,1714.39982859447,1054.02591027396,1075.51985532177,1.02039223593870,0.920294831297211,0.919467369423332,"Chr1",1910277,1911329,"W","1",1910803
