"orf","chr","gene","geneflag","WtMean","MutMean","WtMean2","MutMean2","fold.mut.by.wt","p","p.paired","chr.combimatrix","start","end","strand","chr2","loc","sd.wt","sd.mut","sd.mut.vs.wt.ratio"
"orf19.3930","Chr5","YUH2",1,775.137133699634,1255.30110717643,918.887989387598,862.713669150317,0.938867064445234,0.794320629981538,0.761219828634799,"Chr5",976782,975772,"C","5",976277,324.624336575193,298.054271943165,0.416186403974372
"orf19.922","Chr5","ERG11(ERG16)/ERG11/CYP51/ERG16/L1A1/P45014DM",1,1702.62019951563,1965.27474507999,2004.01386237775,1300.04303615343,0.648719582513735,0.0161138767406777,0.0778533055891984,"Chr5",149706,148120,"C","5",148913,454.879210313407,370.272400129141,0.318313874967657
"orf19.4280","Chr5","",1,349.749557913351,368.363682193991,379.346716792356,264.160768790795,0.696357071505616,0.748926331191966,0.646362143414154,"Chr5",594548,595198,"W","5",594873,262.290694520159,140.383548545385,0.678453517605971
"orf19.3170","Chr5","BUD27",1,548.654667171908,739.456660966076,603.218372285525,486.520166818953,0.80654069765081,0.373212527705368,0.474500161361253,"Chr5",453571,451385,"C","5",452478,231.701910133515,68.8760775867669,0.44585957534248
"orf19.1283","Chr5","MEC1",1,662.47100385247,857.663637563809,747.855323000012,535.372743954674,0.715877426407868,0.0798210377040999,0.129483881863203,"Chr5",909155,902178,"C","5",905666.5,230.391090530743,117.329411093536,0.353117351109446
"orf19.971","Chr5","SKN7",1,726.003269921902,960.631608327078,854.366876821711,712.483814669383,0.833931925497697,0.631869352381309,0.465909648803313,"Chr5",40891,42570,"W","5",41730.5,511.102773090386,509.956480775883,0.474644512966867
"orf19.1280","Chr5","SUI1",1,5899.29961916815,10442.4930077977,8481.50494164107,8466.13821276825,0.998188207284138,0.78231272960277,0.289132987608125,"Chr5",912420,912091,"C","5",912255.5,7202.61751352395,9430.0705553873,0.274287254451234
"orf19.1111","Chr5","TAF9",1,669.543079337524,932.473881016644,792.157280363333,674.632932974483,0.85164013472811,0.482098487126178,0.381150465346225,"Chr5",843960,843262,"C","5",843611,303.139577295505,308.187620321965,0.386882607520363
"orf19.3216","Chr5","",1,1219.41052786697,1254.90263041556,1392.60103622627,755.793126789575,0.54272049720547,0.261367186769635,0.0212885883033301,"Chr5",868724,871228,"W","5",869976,1120.68149695892,478.158977798985,0.274748974243951
"orf19.3171","Chr5","ACH1",1,3227.38460583607,6400.57998037924,3847.84502895196,3889.64501886727,1.01086322073805,0.902831071792153,0.815955514762523,"Chr5",448572,446998,"C","5",447785,1494.32406499954,1503.5250558713,0.303098699027366
"orf19.2653","Chr5","",1,236.217871158887,328.425110909458,209.940819413176,203.622600738465,0.964203431772427,0.354423456821948,0.389243968834222,"Chr5",740209,736928,"C","5",738568.5,170.612008423901,54.9066557986351,19.397593653151
