orf	chr	gene	w1	w2	w3	m1	m2	m3
NA	NA	NA	NA	NA	NA	NA	NA	NA
orf19.6002	Chr3	RPL8B/RPL81	19218.3731527094	24291.8824971842	15753.9864403089	21163.8194101082	19803.9157889501	21629.2856632023
orf19.6002	Chr3	RPL8B/RPL81	10641.0955837871	19441.9600229809	23350.4443932851	29997.4099425128	18776.3770115798	21871.5929523447
orf19.6350	Chr1		107.396551724138	198.353783654732	53.5427440054134	155.577929510034	161.610580645081	238.443792591339
orf19.1655	Chr3	PMP3/PXP2/POX1	12513.1896551724	12721.2492988657	31989.1385473149	11848.1747837731	8558.91600814408	36635.093443162
orf19.1655	Chr3	PMP3/PXP2/POX1	1582.95523290986	2246.41399153916	4335.49902028767	2131.32194925556	1486.79124815133	8574.69380000501
orf19.6918	Chr7		53.5689655172414	105.749378131078	2217.10546178393	9.07805986835741	31.690828430135	2070.34158006917
orf19.6918	Chr7		632.758620689655	622.577273676632	0	1020.13606455736	540.368349329653	0
orf19.3780	Chr4		145.275862068966	165.486871913744	0	122.935065258026	89.0916552713399	0
orf19.3780	Chr4		0	0	0	0	15.6987822732277	0
orf19.4163	Chr4		367.186339522546	459.332116425541	7.22397525990983	162.400154660385	185.344291684786	28.3937613051111
orf19.4163	Chr4		563.586206896552	618.706640358285	45.3432726449634	352.440765769576	370.846693919736	23.3417735179832
orf19.3781	Chr4		11.3017241379310	23.2559385857581	0	0	12.3634463585792	0
orf19.3781	Chr4		454.569581280788	263.490841509133	724.280487140139	273.571228529091	286.624144762262	203.209871148703
orf19.5095	Chr1	OSH1	1505.78386699507	1500.33509501873	118.149181964352	1479.38622716300	1031.08076508832	117.231228183020
orf19.5095	Chr1	OSH1	986.258620689655	668.232343678731	1448.84462917476	583.871864501036	796.147767798353	910.428453244843
orf19.1536	Chr2	196623..197660)	3871.94458128079	4145.04265260732	4778.80665068667	3048.55733544078	2830.73109822474	3807.9568041521
orf19.1536	Chr2	196623..197660)	4730.44646098004	6416.09607541839	2705.48193448282	6893.59974037266	4416.41901150863	2576.6949428754
orf19.5268	Chr1	NUT2	22.5338669950739	89.8929749094715	0	25.0657961989635	52.8130002696182	0
orf19.5268	Chr1	NUT2	24.6478779840849	111.682552143179	0	34.839945693217	93.7077262690146	51.0517682303777
orf19.187	Chr2		1546.94827586207	1894.53732194576	2124.57977195457	1476.36071861806	1137.13748272613	1152.98118680467
