orf	chr	gene	geneflag	WtMean	MutMean	WtMean2	MutMean2	fold.mut.by.wt	p	p.paired	type
QC-3prime	NA	NA	0	892.254911364696	1367.99259469541	1149.01696864075	988.240915703697	0.860075127413266	0.0325168861782600	3.31606645688392e-05	middle
QC-5prime	NA	NA	0	425.258880916363	635.146353357803	450.954824399769	407.196284583777	0.902964693028319	0.0171796280052174	0.0302656595162089	middle
orf19.6002	Chr3	RPL8B/RPL81	1	14542.8984145266	34636.7505566428	18987.9507340297	22448.6608754394	1.18225822206329	0.225126383509673	0.374031152355777	middle
orf19.6350	Chr1		1	327.943191865606	602.396770912789	328.670818553032	400.80837451994	1.21948269178412	0.613408207974081	0.675618452086399	middle
orf19.1655	Chr3	PMP3/PXP2/POX1	1	7974.38140056153	15004.1735149632	11107.0492921175	11770.7607102820	1.05975587221311	0.927120324924883	0.647209034157042	middle
orf19.6918	Chr7		1	649.737198876945	1132.38616355273	811.835126555156	825.592335048607	1.01694581577398	0.97851666917144	0.930165663665561	middle
orf19.3780	Chr4		1	257.593980253463	369.645767956103	230.365857676989	231.348081038085	1.00426375406061	0.990182690456999	0.990980835147193	middle
orf19.4163	Chr4		1	529.086961327029	670.516199221577	552.368043579982	402.679841154904	0.729006404036471	0.254547898248760	0.156119749177084	middle
orf19.3781	Chr4		1	409.431823923203	512.85846362533	445.596849342376	323.748178007074	0.72654952225284	0.463240772532467	0.339071959524706	middle
orf19.5095	Chr1	OSH1	1	1073.77048597954	1692.07448089985	1246.67238279597	1035.96185050123	0.830981631419342	0.486444850321622	0.201344362503646	middle
orf19.1536	Chr2	196623..197660)	1	3731.47808264029	6556.96886998471	4649.18582192272	4148.84110622441	0.892380142488821	0.564214141006137	0.476558558261025	middle
orf19.5268	Chr1	NUT2	1	252.189994631805	402.984353599972	228.425599358909	257.533590072829	1.12742875927923	0.708993670146802	0.748361250505204	middle
orf19.187	Chr2		1	974.468169761273	1378.09256969019	1181.69306294604	879.118616491974	0.743948360245317	0.557940599194247	0.239885026482493	middle
orf19.3295	Chr1		1	476.913272072755	607.277401279117	499.996157391919	398.525947034842	0.79705801963286	0.425499597760983	0.403494721688921	middle
orf19.2444	Chr1	CHS7	1	1121.66055787896	3075.63711607422	1318.67548048293	1910.91033631641	1.44911342070044	0.0382665876366288	0.0443980387679208	middle
orf19.4993	Chr1	SEC18	1	1626.45402298851	3478.28576248313	1885.92594172812	2088.25884370087	1.10728570910231	0.812922290320801	0.635935843246879	middle
orf19.5662	Chr4	PEP7	1	415.223006676727	885.923569423116	444.63138871485	552.875920305217	1.24344779594449	0.388476227106858	0.238199290194047	middle
orf19.3674	Chr1	GAL102	1	1258.66966044643	2487.00230766838	1779.68294901635	2045.67057257766	1.14945787040794	0.813739439949762	0.170608563176362	middle
orf19.5464	Chr3		1	200.172104110852	222.262820512821	172.373109195076	151.001330875677	0.876014429285416	0.868732215567708	0.878117646851746	middle
orf19.1985	ChrR		1	1599.43637110016	1923.2094017094	1977.52717771090	1207.09137578722	0.61040444318166	0.0578472799521971	0.186116970612829	bottom05
orf19.1317	Chr4	OSH3	1	577.946079278656	1015.50485545014	632.033788486726	652.370855730464	1.03217718358449	0.897662276114306	0.862055090075444	middle
orf19.3068	Chr3	PAK4	1	280.312299315929	332.679208472687	258.650175183340	209.248913073143	0.809003562146516	0.687118646876976	0.725882527141583	middle
orf19.7557	ChrR	FGR46	1	188.373109497883	262.641215106732	151.800264961137	171.847578259667	1.13206375696157	0.795427623759148	0.83896671313007	middle
orf19.4424	Chr1	PHO3	1	277.421213566631	380.236263736264	278.380549823969	262.064343656389	0.941388842798475	0.861231859710276	0.863181839983248	middle
orf19.4569	Chr4		1	432.06399204244	739.142835542345	461.459982420786	469.857208774685	1.01819708463093	0.937806391214876	0.927363324357502	middle
orf19.2198	Chr2		1	446.488657746026	669.253036437247	476.973000417444	447.361303304294	0.93791745636077	0.687640248298992	0.763864514482765	middle
orf19.5987	Chr3		1	901.633502273589	2060.11163463477	1040.12433805220	1271.60613425822	1.22255204280626	0.265381699017015	0.193250108739388	middle
orf19.1508	Chr2		1	271.797619047619	398.070970695971	257.755384917736	260.406902004877	1.0102869512813	0.98524525136785	0.989336780419186	middle
orf19.2500	Chr1		1	586.122221169635	1104.85537160208	655.947196131005	696.871883754582	1.06239021656768	0.805498614528094	0.738847558403529	middle
orf19.7424	Chr3	NSA2	1	430.970159151194	913.097968069666	460.503782270421	572.025767718037	1.24217387509345	0.5900800551265	0.643430373885787	middle
orf19.397	Chr1	MRPL28	1	1388.27968960864	2683.90309383095	1607.80881206263	1542.3441856348	0.95928332651452	0.885111489425325	0.836212585901318	middle
orf19.2677	Chr4	GPI16	1	728.705625552608	1246.82327586207	815.775645084662	792.688995451473	0.971699756210799	0.906116247864193	0.892276986961865	middle
orf19.1237	Chr4	ARO9	1	921.995247568523	2857.68345944991	1060.33749235826	1742.1184002771	1.64298481646868	0.0174015515109456	0.0360663805476576	up05
orf19.4413	Chr4	CMD1	1	8084.30494505495	25387.4951923077	10824.5084227136	16682.2521028840	1.54115563048376	0.310708649739251	0.0162022983089462	up05
orf19.6233	Chr1		1	1226.26929724843	2588.91862896511	1422.47394321458	1582.11009345235	1.11222430540767	0.782892297799205	0.476005890739374	middle
orf19.5537	Chr6	WSC2	1	735.001327506432	993.573155645524	832.86673148553	629.678992675367	0.756038113747503	0.091690132707546	0.0283277947095105	middle
orf19.2748	Chr4	ARG83	1	260.800836225178	340.119117145206	242.191992640585	213.918512079564	0.883260052271919	0.68945987342446	0.705025662743872	middle
orf19.2179	Chr2	RPS10/SIT1/ARN1/YHL040C	1	16038.2759558624	35577.6951870725	20531.2279854616	21034.2757700625	1.02450159264498	0.908272158290453	0.897385560587716	middle
orf19.4752	Chr1	MSN4	1	739.416224303021	1153.12306005398	884.272415926859	808.768706705738	0.914614876749287	0.82585117125398	0.637663950534612	middle
orf19.5364	Chr4	ECM2	1	1343.21172363380	2865.23686974389	1669.31610723539	1899.13362361969	1.13767165810489	0.459274151857101	0.346964031186235	middle
orf19.2190	Chr2	VRP1	1	824.915474750094	1244.57097893361	965.626954272311	786.439485557255	0.814434064912687	0.409525725135313	0.120944621425592	middle
orf19.2356	Chr6	CRZ2	1	12238.0768300060	12069.1845731149	14760.9158983090	7017.47303117546	0.475409051817672	0.0564106874733043	0.00976531541338902	bottom05
orf19.223	Chr2	KIN82	1	3429.8225976418	4977.4487858129	4236.80066621486	3114.52291394658	0.73511197701191	0.236394902369455	0.0491402389637196	middle
orf19.5604	Chr6	MDR1/BEN/BENR/BMR1	1	355.406675397601	734.582969058656	351.542675175488	426.018609237040	1.21185460349693	0.663035904702512	0.533121556452674	middle
