orf	chr	gene	w1	w2	w3	m1	m2	m3
orf19.3930	Chr5	YUH2	478.344827586207	1064.52693150706	751.098102001918	770.951924709176	548.556226486819	1064.60064885108
orf19.3930	Chr5	YUH2	784.172413793103	1015.09079804038	1429.91986793741	627.534992157379	811.409569143074	1354.10929391407
orf19.922	Chr5	ERG11(ERG16)/ERG11/CYP51/ERG16/L1A1/P45014DM	1781.81034482759	2262.45289841229	1635.65161052475	1582.26890346184	835.014849928288	1271.11109389096
orf19.922	Chr5	ERG11(ERG16)/ERG11/CYP51/ERG16/L1A1/P45014DM	2735.41710875332	2097.97423659669	1525.66306183291	917.65635632387	1411.60181770706	1782.77265919558
orf19.4280	Chr5		106.494031830239	402.1239081217	632.173855999033	183.654688055432	182.250190886821	426.833856858592
orf19.3170	Chr5	BUD27	323.913793103448	784.087310621415	542.899702920432	520.30680818907	386.220114294099	529.345159371840
orf19.3170	Chr5	BUD27	453.647877984085	963.128485912159	556.92226082499	564.300864676923	417.908452430219	500.993130292265
orf19.1283	Chr5	MEC1	438.206896551724	971.857963596803	695.015067590479	614.42838016153	399.293530040195	442.670070816565
orf19.1283	Chr5	MEC1	641.141009852217	1065.21013326758	682.252020874953	635.399530200359	669.215679172474	450.55051095977
orf19.971	Chr5	SKN7	910.174365647365	1268.07262665174	1614.42464861893	765.089341730197	495.280735049953	1689.18404831995
orf19.971	Chr5	SKN7	264.667108753316	629.54707239057	448.575509741045	379.979291322008	277.633963058477	669.517244068273
orf19.1280	Chr5	SUI1	1803.45557029178	2949.95796521665	10529.7442681559	1995.78079939449	1759.76148702990	10993.3495154169
orf19.1280	Chr5	SUI1	6807.0780399274	7117.73258150573	21816.8197213400	3834.54655629148	5779.57757485252	26471.2380488322
orf19.1111	Chr5	TAF9	583.464767616192	939.181028759522	814.706636851083	521.803565011941	431.799985446564	1078.28704467735
orf19.1111	Chr5	TAF9	391.706896551724	753.951361377017	1279.22025581616	546.26879007005	412.451638114445	1058.56352948395
orf19.3216	Chr5		469.090185676393	862.057457407921	437.638154482383	546.198075335575	380.779362316423	269.177970449766
orf19.3216	Chr5		2324.81034482759	3198.23867386571	1071.82722838387	1434.95969059796	1252.69630567960	649.300915206531
