orf	chr	gene	w1	w2	w3	m1	m2	m3
NA	NA	NA	NA	NA	NA	NA	NA	NA
orf19.6002	Chr3	RPL8B/RPL81	19218.3731527094	24598.7330060831	16135.7570912324	21453.8923608519	19953.2826341220	21905.7389110765
orf19.6002	Chr3	RPL8B/RPL81	10641.0955837871	19750.6831542782	23765.8307057123	30294.0692471007	18926.3023630151	22148.7720617613
orf19.6350	Chr1		107.396551724138	514.507138478708	365.836172252277	429.987067048159	321.653763029814	450.818120139551
orf19.1655	Chr3	PMP3/PXP2/POX1	12513.1896551724	13032.5673898768	32442.7525996063	12131.3019595717	8714.39493681866	36956.4984496894
orf19.1655	Chr3	PMP3/PXP2/POX1	1582.95523290986	2561.7765618838	4666.74085760205	2407.20420796358	1646.11414462644	8812.04039854999
orf19.6918	Chr7		53.5689655172414	421.938488801647	2538.97303529864	283.377966626989	191.804627123420	2288.203584684
orf19.6918	Chr7		632.758620689655	938.566829921645	297.337741321708	1295.18981945412	700.205662514333	196.479632146773
orf19.3780	Chr4		145.275862068966	481.652917108632	217.677120429802	397.31986417035	249.174254440071	141.759136464774
orf19.3780	Chr4		-18.1500302480339	309.356351602967	248.649605402480	229.792942695067	175.821273249607	193.909543226733
orf19.4163	Chr4		367.186339522546	775.38470389209	319.312434814647	436.814378871781	345.374573898197	240.138857928207
orf19.4163	Chr4		563.586206896552	934.697691108559	357.600416790017	626.996684878978	530.776148548041	235.071736284971
orf19.3781	Chr4		11.3017241379310	339.476901118586	254.751338978868	208.129116744894	172.487750216419	151.395120204238
orf19.3781	Chr4		454.569581280788	579.619046010777	1039.54204778114	548.068342254897	446.599377537592	415.478651114517
orf19.5095	Chr1	OSH1	1505.78386699507	1815.98573678307	430.728505053632	1754.78240047533	1190.65135747981	329.242448458307
orf19.5095	Chr1	OSH1	986.258620689655	984.20427186739	1767.31251348492	858.600339390694	955.846055176504	1124.81579420275
orf19.1536	Chr2	196623..197660)	3871.94458128079	4459.67213606738	5112.01020217595	3325.12348783729	2989.32351246362	4031.02405071928
orf19.1536	Chr2	196623..197660)	4730.44646098004	6729.84867362303	3029.51065972037	7173.03276889748	4574.14954427805	2796.07379180091
orf19.5268	Chr1	NUT2	22.5338669950739	406.088207957458	242.26277883971	299.377623465825	212.915318262098	206.900183367674
orf19.5268	Chr1	NUT2	24.6478779840849	427.869371932892	249.54188488391	309.159060597745	253.787816428235	262.864739723911
orf19.187	Chr2		1546.94827586207	2210.03575675760	2446.03790303058	1751.75463610138	1296.65042927264	1368.09512456427
orf19.187	Chr2		124.137931034483	472.120090518415	303.292610661366	333.750512608599	304.909505668566	218.842711039559
orf19.3295	Chr1		549.896551724138	942.14906476221	432.46576186609	591.631095463522	382.584858977911	512.267621388237
orf19.3295	Chr1		153.980295566502	580.925592162393	344.434326494001	304.025447284213	280.701764969675	319.882629179307
orf19.2444	Chr1	CHS7	1113.79310344828	1709.02660951723	1235.71040496323	2238.11155164109	1838.66224281226	1237.65891978471
orf19.2444	Chr1	CHS7	1361.55172413793	1330.91681087182	1172.25809506734	2725.76893189924	1855.91466102395	1566.54194230307
orf19.4993	Chr1	SEC18	713.120689655172	1028.22210884015	446.748329206913	1185.77276930499	857.938022241652	490.284314355088
orf19.4993	Chr1	SEC18	3895.62068965517	2871.30501114543	2373.82477002153	2489.48942343345	4372.17895819604	3129.84164152957
orf19.5662	Chr4	PEP7	53.4555702917772	440.663405914173	683.10465839099	452.020560507035	376.120109971093	621.792324698673
orf19.5662	Chr4	PEP7	401.158866995074	701.475245588568	392.833143117878	707.388281602127	776.933966351052	382.343942823755
orf19.3674	Chr1	GAL102	788.705570291777	1250.53250246569	5073.98280872245	1164.21421927733	939.078122392452	5607.33808037495
orf19.3674	Chr1	GAL102	398.931034482759	640.893410489422	2556.84719315038	655.001792801643	562.280065923052	3355.50532163123
orf19.5464	Chr3		-53.4839901477832	278.478226464284	293.446367336975	169.251685996752	107.596716824967	176.198058944480
orf19.1985	ChrR		1645.51600985222	2163.36096914075	2133.37684546523	1646.09113956689	1092.28939354887	882.11514302667
orf19.1317	Chr4	OSH3	678.766009852217	1063.72611526624	363.705584242444	1009.68064203881	708.024683228395	330.299137726399
orf19.1317	Chr4	OSH3	299.095583787054	637.723008395642	754.528223417876	590.107318621728	427.914058606658	847.753029266922
orf19.3068	NA	PAK4	85.8148820326679	447.094150586663	244.244409777121	259.240907610416	197.363084930481	171.022173645946
orf19.7557	ChrR	FGR46	-34.8275862068965	320.570373411490	273.437964092635	222.373423762857	130.029227086223	172.468369580015
orf19.7557	ChrR	FGR46	-79.3781004234725	253.277139272405	179.831559856005	280.649600859993	116.373630721457	109.111214373172
orf19.4424	Chr1	PHO3	-22.6551724137931	314.22956922393	468.833963310332	248.225302571918	137.194464562449	274.176897655664
orf19.4424	Chr1	PHO3	77.1206896551724	394.727168048569	442.053956517754	331.173389958693	213.665862409419	368.176504215329
orf19.4569	Chr4		150.465517241379	460.697648932315	399.610512849337	413.748225957308	317.088948231166	276.383098037169
orf19.4569	Chr4		421.5324933687	645.522751026248	695.895525888336	726.294222892925	541.584890593197	543.619881200038
orf19.2198	Chr2		307.340185676393	602.668704394203	538.764125311923	471.110774721547	294.795930558953	516.090120797634
orf19.2198	Chr2		295.436339522546	607.384662715858	515.089695866602	587.175075723121	372.330572476693	442.748094976399
orf19.5987	Chr3		965.378647214854	1443.11756582190	671.880845884122	1905.24014105661	1262.27178225164	710.292939046198
orf19.5987	Chr3		852.362068965517	1181.64130316955	1134.93713569564	1073.73920816852	1378.79880166461	1297.36017007640
orf19.1508	Chr2		34.2660098522168	436.233837031375	304.206738650779	376.158622589943	188.718345354387	216.284364347618
orf19.2500	Chr3		504.587438423645	945.800302525423	337.313889905339	1063.87899436171	702.31142735167	283.929917634878
orf19.2500	Chr3		409.172413793103	723.495097774008	1021.61471564778	566.127883058761	633.72203186055	930.535636216809
orf19.7424	Chr3	NSA2	182.517241379310	773.528816578055	427.566697654958	677.886416856591	559.422607784446	478.424642060364
orf19.397	Chr1	MRPL28	1665.31034482759	2419.75102324354	666.719786800368	2949.85823840822	2061.11558445969	469.929932764082
orf19.397	Chr1	MRPL28	1770.72480106101	1629.66969818896	1505.41019877132	1150.11457651931	1823.50972102394	794.45705272086
orf19.2677	Chr4	GPI16	949.586206896552	1326.10672455277	835.643690216552	1378.48677497254	776.968306874271	761.872289672822
orf19.2677	Chr4	GPI16	458.241379310345	833.180545989296	498.329800311213	909.6211354853	535.878626460013	392.461523963572
orf19.1237	Chr4	ARO9	619.448275862069	1041.15278317354	791.204660953872	2246.59260279189	1494.09970714496	1125.72561163796
orf19.1237	Chr4	ARO9	1502.51724137931	1183.54932631413	1233.41411719544	1635.33282559813	2362.19059238296	1585.70450634049
orf19.4413	Chr4	CMD1	13133.4363395225	13718.9949004867	4728.40652541706	26590.0818999901	19608.520535512	6257.26732068143
orf19.4413	Chr4	CMD1	3554.72480106101	4644.96349556534	25296.8623946484	7691.75453605906	9190.90123073892	30754.0028400559
orf19.6233	Chr1		424.391009852217	853.523367710667	371.035202806361	1059.08674663936	875.872214982498	356.063253401145
orf19.6233	Chr1		2745.34018567639	2053.34127095022	2098.60234130329	2064.22553824386	2745.75607599264	2389.10655881781
orf19.5537	Chr6	WSC2	615.391009852217	928.614205207689	637.751608538232	533.580677907689	541.182200147789	430.790892481883
orf19.5537	Chr6	WSC2	773.224137931035	1162.96419782579	886.42718135833	617.018306059838	763.193366214193	891.835652939287
orf19.2748	Chr4	ARG83	53.3017241379310	372.365441884227	328.74921381992	190.363834866722	221.401144402072	240.025184798794
orf19.2748	Chr4	ARG83	34.0517241379310	394.478163862612	273.008993732113	270.702913806612	207.739793982938	153.056496711042
orf19.2179	Chr2	RPS10/SIT1/ARN1/YHL040C	15437.7302955665	23989.7379717292	15556.8452127610	26266.8874618165	20678.1785695047	9633.76005090818
orf19.2179	Chr2	RPS10/SIT1/ARN1/YHL040C	19390.224801061	28356.7041805372	20627.6799107182	31913.2214802929	26693.2658624598	10964.3970767389
orf19.4752	Chr1	MSN4	335.931034482759	730.339617228044	408.753364547245	508.634730859839	368.965977258175	305.435326689045
orf19.4752	Chr1	MSN4	786.337438423645	1165.57247188876	1888.90970107784	1274.79041192837	620.948751426731	1774.81830142727
orf19.5364	Chr2	ECM2	1767.62068965517	2129.56425402508	1543.4136973241	2531.77729533207	1726.48464696577	1863.13480613448
orf19.5364	Chr2	ECM2	805.172413793103	1318.31952170132	2469.70281532989	1745.97996332481	1297.37097779493	2230.15001364974
orf19.2190	Chr2	VRP1	382.362068965517	774.954831463021	1463.07367694637	629.268079004914	442.416527196591	1036.13931868554
orf19.2190	Chr2	VRP1	1223.98275862069	1259.32418486759	699.794012902007	958.777780615378	1147.75457693373	503.584889340655
