orf	chr	gene	WtMean	MutMean	fold.mut.by.wt	p	p.paired
orf19.6502	Chr7		337.456326499530	325.727963903286	0.965244798585039	0.936178683092184	0.723693186666922
orf19.6973	Chr3	PIM2	920.913773046357	832.828241735428	0.904349860009647	0.514983181248754	0.457759197432304
orf19.7420	Chr3	MED6	747.864369082987	853.560751803126	1.14133095129233	0.19948955037522	0.146354600641365
orf19.2150	Chr6		2080.29549819292	2556.99944200608	1.22915203355834	0.546626419304479	0.264781611047390
orf19.849	Chr2	MNN4	546.575900343318	518.295690585167	0.94825931816535	0.835752213927224	0.336368380428067
orf19.5205	Chr2		346.964000939216	351.85249367489	1.01408933699877	0.971912602440203	0.904685292878217
orf19.97	Chr6	CAN2/CAN1	2855.29324338228	2567.58513499426	0.899236931598938	0.789693873630433	0.161078093417263
orf19.961.2	Chr5		1448.96997632697	1173.89992260314	0.810161660891617	0.369775424099251	0.0915893793464584
orf19.1506	Chr2		420.769592801244	479.562525551989	1.13972714225697	0.804374840918856	0.417790843937194
orf19.6536	Chr7	IQG1	706.131218468728	688.69968162059	0.975314026073031	0.91578189332294	0.851472792535409
orf19.2539	ChrR		540.538239661743	577.519674207797	1.06841594513128	0.870129046386527	0.735674806055546
orf19.6451	Chr7	POL99	349.046548328777	349.687373398616	1.00183593011565	0.99670668564569	0.990028856239247
orf19.3491	Chr?	CKU702	597.35419544435	492.046945145881	0.823710537062295	0.506399457811834	0.0347421111417798
orf19.1978	Chr5	GIT2	517.867347052452	470.648150092204	0.90881989909384	0.78631649209365	0.246228367834880
orf19.5316	Chr4	FGR29	477.576506513728	427.05546878799	0.894213729032573	0.749811525317961	0.302081721438679
orf19.4239	Chr5		344.816201128159	347.711818160756	1.00839756665471	0.98502032247564	0.943011579050863
orf19.879	Chr2	SHE4	543.384448742043	515.991660935976	0.949588568702174	0.739661298836533	0.496182243763093
orf19.4933	Chr1	ODD2	1063.09951536275	921.538036691397	0.866840802177345	0.433845322307829	0.2940764319106
orf19.443	Chr1	RPC25	752.303463100538	782.629392318418	1.04031076647301	0.866086697284915	0.454849515910302
orf19.99	Chr6	MET222	1056.15176642762	1087.87381197291	1.03003549920916	0.900148352836847	0.743501542253567
orf19.6895	Chr2		411.836709433953	401.323148566615	0.974471530520462	0.961867903421254	0.88173542535191
orf19.7382	Chr3	CAM1	9314.91760639159	10231.9273796851	1.09844529088097	0.885277998203223	0.682576833251428
orf19.1401	Chr2	EAP1/PGA47	1262.96976027908	1580.86454842329	1.25170419604818	0.641682510126142	0.399500736399256
orf19.5184	Chr7	PRP20	1288.98604279696	1203.26952992628	0.93350082155685	0.883713854773294	0.717229379250391
orf19.6314	ChrR	RPB8	465.647993938477	489.242202504001	1.05066962356256	0.792800676382437	0.614625168938463
orf19.696	ChrR	STE2	382.860318267891	363.796099159292	0.950205810842846	0.890865422205028	0.540564295421179
orf19.139	Chr6	TRA1	366.981986321848	332.241451270219	0.905334495025701	0.806053536183595	0.355089909189497
