orf	chr	gene	WtMean	MutMean	fold.mut.by.wt	p	p.paired
orf19.5620	Chr6		2217.96764144074	5551.15168505804	2.50281004165243	0.062910770542465	0.0089246190267995
orf19.2896	Chr4	SOU1	2891.37378362103	6542.63953002538	2.26281346503449	0.0230989139362290	5.63437387579594e-06
orf19.4015	Chr5	GPA1/CAG1	419.812676716523	722.387560467551	1.72073784459668	0.0797437022354015	0.0074022724465553
orf19.2607	ChrR	PMU2	546.062497636652	959.311641846845	1.75677994002285	0.000259567173946445	0.0045183510089121
orf19.3722	ChrR	FAP1	869.654298508992	1468.83089414385	1.68898250334890	0.0331881385788683	0.008656232152938
orf19.3059	Chr1	SUA7	1510.44345699779	2424.96502006402	1.60546560603067	0.180832931998372	0.00815464726752033
orf19.7018	Chr7	RPS18B/RPS18	14786.4500068781	24586.1190253114	1.66274656958735	0.154501079639082	0.00934201062342758
orf19.7398	Chr3	TSA2	11876.4956386502	19376.3970361669	1.63149110863221	0.247236892518474	0.00399254093729939
orf19.7335	ChrR	PRE8	1004.87604276643	1561.77567274119	1.55419734004366	0.177794851099856	0.00650120030636135
orf19.2301	Chr1	NAS2	484.948760852807	760.651448393618	1.56851921233075	0.00365546498322216	0.00129903999148139
orf19.745	Chr4	VAC8	924.272770369615	1616.32491546227	1.74875314655857	0.113985178626105	0.00631042476969752
orf19.1639	Chr3		1000.19529469695	2763.29786709917	2.76275831505127	0.00025814585100818	0.00386463277965304
orf19.4898	Chr1		4079.04119548185	6224.99175107351	1.52609190560974	0.292337158436038	0.00803707091296581
orf19.7111	Chr7	SOD3	3078.0061025271	12244.8230738607	3.9781672504832	0.00368782571498075	0.00545170010741692
orf19.7084	Chr7		1184.88408001182	2505.85230520719	2.11485017604607	0.0148518666437474	0.00554477392466944
orf19.6604	Chr2		473.174482293848	943.552218562925	1.99408939803513	0.00989783692551827	0.00647442214809167
orf19.6602	Chr2		618.026137075447	1024.35933297538	1.65746927439467	0.0118931757563782	0.00295000530570774
orf19.386	Chr1	SAM4	1021.52078840158	1538.21799068131	1.50581173496061	0.102512613078071	0.00206747983955557
orf19.6551	Chr7	STE18	657.28600867693	2060.70008303934	3.13516499033257	0.000951804711502302	0.000923465616317303
orf19.2877	Chr4	PDC11	3956.63621377721	6733.68373900076	1.70187082541320	0.0990890740568854	0.00598554160365827
orf19.6999	Chr3	TCD5	560.200285498046	907.305832662685	1.61960972914544	0.127692301852911	0.00872922503721032
orf19.709	ChrR	PUP2	1121.57778545503	1717.89237803066	1.53167475346678	0.0238013978240502	0.00744027710782952
orf19.355	Chr3		6174.87468406952	15118.1889019876	2.44833938751678	0.0218195610275914	0.00851079104854602
