"","orf","gene","A21_CHROMOSOME","WtMean2","MutMean2","fold.mut.by.wt","sd.ratio","p","p.paired","A21_START","A21_STOP","A21_STRAND","A19_CONTIG","A19_STRAND","A19_START","A19_STOP","CGH.Ratio","CGH.sd","weak"
"3713","orf19.5698","","Ca21chr5",1193.5238,745.267387,0.624426079,0.271608542,0.11964888,0.034284111,3999,4808,"W","Contig19-2350","C",17085,16276,0.626727017,0.074878533,0
"3714","orf19.5693","","Ca21chr5",399.4481144,208.8100101,0.523163508,0.425777267,0.680526842,0.062883353,6473,4830,"C","Contig19-2350","W",14551,16254,0.650085837,0.092296662,0
"3715","orf19.5692","","Ca21chr5",466.3403751,291.3914773,0.624847199,0.252071047,0.003548667,0.01695983,8807,7209,"C","Contig19-2350","W",12277,13875,0.683457836,0.135311576,0
"3716","orf19.5691","CDC11","Ca21chr5",524.946552,446.5845004,0.850723752,6.814505841,0.842624191,0.763039434,8946,10154,"W","Contig19-2350","C",12138,10930,0.633760568,0.095516583,0
"3717","orf19.5689","","Ca21chr5",1220.409109,798.893827,0.654611491,0.393228959,0.247482233,0.065982975,11086,10151,"C","Contig19-2350","W",9998,10933,0.546553981,0.040110297,0
"3718","orf19.5686","","Ca21chr5",4434.171299,6139.671517,1.384626597,0.326155693,0.648893237,0.128569517,12441,11839,"C","Contig19-2350","W",8643,9245,0.569320804,0.029517614,0
"3719","orf19.5685","THS1","Ca21chr5",4590.267778,2139.67996,0.466134017,0.404926356,0.059439818,0.073681121,14674,12554,"C","Contig19-2350","W",6410,8530,0.572279154,0.064395216,0
"3720","orf19.5684","","Ca21chr5",1741.582653,1355.24019,0.778165876,0.211074907,0.234401626,0.060204901,15475,15077,"C","Contig19-2350","W",5609,6007,0.526127676,0.062756597,0
"3721","orf19.5683","","Ca21chr5",1166.34309,717.5207267,0.615188389,0.329126152,0.098928841,0.066986337,15979,15563,"C","Contig19-2350","W",4829,5521,0.555849672,0.012515203,0
"3722","orf19.5682","","Ca21chr5",860.4265445,826.5503441,0.960628597,0.544883854,0.685661444,0.753076886,18029,16398,"C","Contig19-2350","W",3055,4686,0.605090241,0.111359638,0
"3723","orf19.5681","","Ca21chr5",208.2946567,137.7726361,0.662231595,0.480669943,0.367970865,0.171234498,18148,18882,"W","Contig19-2350","C",2936,2202,0.488343519,0.023363977,0
"3724","orf19.5680","","Ca21chr5",839.1280432,520.4061344,0.620174881,0.410002239,0.079355192,0.044085152,19011,20093,"W","Contig19-2350","C",2166,991,0.604678246,0.06836392,0
"3725","orf19.980","","Ca21chr5",3056.620507,1598.289467,0.522894309,0.330033183,0.071378606,0.016722476,21297,23504,"W","Contig19-10080","C",136747,134540,0.597944436,0.068187664,0
"3726","orf19.979","FAS1","Ca21chr5",4724.15189,2524.749443,0.534434434,0.544909508,0.134776903,0.08074272,29661,23548,"C","Contig19-10080","W",128383,134496,0.61752213,0.072809056,0
"3727","orf19.978","BDF1","Ca21chr5",351.7081851,199.9871448,0.568616692,1.031677724,0.38530123,0.363069859,32849,30720,"C","Contig19-10080","W",125126,127324,0.578379142,0.037310635,0
"3728","orf19.976","BRE1","Ca21chr5",846.6882969,472.4181492,0.558156783,0.469654229,0.265650856,0.052992078,35884,33839,"C","Contig19-10080","W",122160,124205,0.583461082,0.030687801,0
"3729","orf19.974","ROT2","Ca21chr5",892.6725547,631.6315555,0.707573625,0.748188016,0.257554417,0.333401091,36656,39271,"W","Contig19-10080","C",121388,118773,0.574023875,0.050354226,0
"3730","orf19.972","","Ca21chr5",55.24289866,104.47734,1.885547005,6.196928022,0.256950659,0.091553329,40126,39266,"C","Contig19-10080","W",117918,118778,0.67086632,0.096930951,0
"3731","orf19.971","SKN7","Ca21chr5",642.4449945,502.6255473,0.782363551,1.198195404,0.534017342,0.377679662,40891,42570,"W","Contig19-10080","C",117153,115474,0.65603313,0.074305788,0
"3732","orf19.970","","Ca21chr5",246.9014136,140.614585,0.569517132,0.398785356,0.189636975,0.311109915,43190,42567,"C","Contig19-10080","W",114854,115477,0.586176651,0.032251979,0
"3733","orf19.969","","Ca21chr5",5989.807075,3901.584412,0.651370631,0.438540104,0.057236348,0.14210904,43421,44635,"W","Contig19-10080","C",114623,113409,0.607241854,0.073376931,0
"3734","orf19.968","PGA14","Ca21chr5",13270.22434,10997.4497,0.828731257,0.214119712,0.422820537,0.120559375,45823,46218,"W","Contig19-10080","C",112221,111826,0.550582364,0.045760672,0
"3735","orf19.967","","Ca21chr5",1308.065331,988.8447641,0.755959768,0.242290344,0.131706791,0.097106994,47366,46404,"C","Contig19-10080","W",110678,111640,0.591022087,0.072316908,0
"3736","orf19.966","","Ca21chr5",772.4252142,461.7219951,0.597756244,0.48210642,0.234710223,0.042319019,47854,48873,"W","Contig19-10080","C",110190,109171,0.614415858,0.06349297,0
"3737","orf19.964","SMC4","Ca21chr5",904.4476,521.4129191,0.576498759,0.239826143,0.287116496,0.016216434,53010,48904,"C","Contig19-10080","W",105034,109140,0.621697045,0.055682732,0
