orf,gene,A21_CHROMOSOME,WtMean2,MutMean2,fold.mut.by.wt,sd.ratio,p,p.paired,A21_START,A21_STOP,A21_STRAND,A19_CONTIG,A19_STRAND,A19_START,A19_STOP,CGH Ratio,CGH sd
orf19.6112,CTA2,Ca21chr1,6489.252766,8491.641109,1.308569941,0.369709569,0.722389316,0.028973747,10718,11485,W,Contig19-10237,C,188889,188122,1.059463094,0.030883297
orf19.6110,,Ca21chr1,173.3415829,73.40087482,0.423446432,0.519937592,0.563605874,0.425698917,11995,11648,C,Contig19-10237,W,187612,187959,1.11577615,0.211188054
orf19.6109,TUP1,Ca21chr1,4746.72256,4098.467626,0.863431046,0.226838675,0.396110308,0.059680813,12163,13701,W,Contig19-10237,C,187450,185906,1.116242741,0.197024123
orf19.6105,MVD,Ca21chr1,2699.595381,3046.284081,1.128422468,0.429162636,0.641207407,0.39542928,13778,14917,W,Contig19-10237,C,185829,184690,1.090893616,0.132324911
orf19.6103,,Ca21chr1,59.90078853,98.65977451,1,22.95021856,0.742157942,0.66488387,15595,16116,W,Contig19-10237,C,184012,183491,1.10955116,0.175674798
orf19.6102,,Ca21chr1,2176.041029,2818.750121,1.295357065,0.292924847,0.386806046,0.006608098,15761,14910,C,Contig19-10237,W,183846,184697,1.064070842,0.077604929
orf19.6100,,Ca21chr1,1190.213078,1531.421906,1.286678776,0.230813133,0.189450838,0.020442349,17328,16600,C,Contig19-10237,W,182279,183007,1.117403311,0.19343672
orf19.6099,CCT8,Ca21chr1,1701.982698,2130.912657,1.252017814,0.36639049,0.738205297,0.413166978,17338,18960,W,Contig19-10237,C,182269,180647,1.114983393,0.258978382
orf19.6096,TRP1,Ca21chr1,3454.807064,4001.957714,1.158373721,0.544639922,0.751665159,0.665511682,19628,18948,C,Contig19-10237,W,179979,180659,1.079805844,0.153738244
orf19.6094,,Ca21chr1,450.7005287,394.0351977,0.873949584,25.9520447,0.682713507,0.545467217,21714,19615,C,Contig19-10237,W,177893,179992,1.081427375,0.106559563
orf19.6092,KEL1,Ca21chr1,736.9431596,724.1260445,0.982607729,0.185959437,0.880241149,0.833016535,22270,25326,W,Contig19-10237,C,177337,174281,1.030937493,0.115099041
orf19.6091,RIM8,Ca21chr1,3779.981864,2802.459242,0.741394891,0.267594257,0.152467212,0.067985746,27249,25381,C,Contig19-10237,W,172358,174226,1.07740278,0.085074652
orf19.6090,,Ca21chr1,6212.85343,6962.80909,1.120710342,0.201142645,0.617731806,0.093771981,29488,28286,C,Contig19-10237,W,170119,171321,1.035175229,0.119505941
