"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","orf","chr","gene","geneflag","WtMean","MutMean","WtMean2","MutMean2","fold.mut.by.wt","p","p.paired","sd.ratio"
"1367","orf19.7125","",536.9143447,895.2758686,603.1747859,NA,620.1193794,NA,1.028092344,NA,0.880337577,0.846785328,1.750726893,0.278673655,1.680991376,0.249768194,"Ca21chr7","C",1155,97,"orf19.7125","Chr7","",1,536.91,895.28,603.17,620.12,1.03,0.88,0.85,0.48
"570","orf19.7124","RVS161",3287.593131,9785.366737,4694.815724,NA,7132.475526,NA,1.519223745,NA,0.146236423,0.010055058,1.569712334,0.146354271,1.539468854,0.131880589,"Ca21chr7","C",2040,1246,"orf19.7124","Chr7","RVS161",1,3287.59,9785.37,4694.82,7132.48,1.52,0.15,0.01,0.59
"2520","orf19.7123","",1791.803598,5827.696356,2335.400102,NA,4002.514738,NA,1.713845407,NA,0.123659999,0.127241962,1.696862211,0.27169697,1.638603011,0.239939383,"Ca21chr7","W",2278,2769,"orf19.7123","Chr7","",1,1791.8,5827.7,2335.4,4002.51,1.71,0.12,0.13,0.76
"5602","orf19.7121","",1370.611577,4540.655441,1618.058288,NA,2672.950942,NA,1.651949724,NA,0.092404442,0.055207911,1.650647458,0.27380291,1.618202237,0.292772348,"Ca21chr7","C",3421,2747,"orf19.7121","Chr7","",1,1370.61,4540.66,1618.06,2672.95,1.65,0.09,0.06,0.34
"4991","orf19.7119","RAD3",1075.364648,3055.102176,1256.17609,NA,1948.653041,NA,1.551257866,NA,0.004312464,0.007934509,1.677517274,0.238254452,1.632138432,0.224951574,"Ca21chr7","C",5761,3464,"orf19.7119","Chr7","RAD3",1,1075.36,3055.1,1256.18,1948.65,1.55,0,0.01,0.36
"5877","orf19.7118","ADK2",2848.201417,6986.264967,3518.409105,NA,4332.124835,NA,1.231273768,NA,0.449727554,0.148662891,1.813520107,0.274722191,1.788613432,0.31362764,"Ca21chr7","C",6467,5799,"orf19.7118","Chr7","ADK2",1,2848.2,6986.26,3518.41,4332.12,1.23,0.45,0.15,0.34
"1547","orf19.7116","LEO1",1717.178686,5845.767154,2153.050613,NA,3957.46143,NA,1.838071714,NA,0.020574075,0.009142465,1.592039078,0.23370777,1.525018094,0.158852383,"Ca21chr7","C",7476,6523,"orf19.7116","Chr7","LEO1",1,1717.18,5845.77,2153.05,3957.46,1.84,0.02,0.01,0.69
"2597","orf19.7115","SAC7",784.3969183,2035.367635,896.936739,NA,1310.658259,NA,1.461260535,NA,0.124551545,0.079192637,1.703238922,0.310105867,1.640139543,0.267792102,"Ca21chr7","C",9430,7583,"orf19.7115","Chr7","SAC7",1,784.4,2035.37,896.94,1310.66,1.46,0.12,0.08,0.7
"4706","orf19.7114","CSA1",459.7781617,841.2322851,521.2612228,NA,570.5076956,NA,1.094475612,NA,0.429318016,0.419797786,1.363259952,0.187478405,1.336266067,0.144324932,"Ca21chr7","C",13080,10024,"orf19.7114","Chr7","CSA1/WAP1",1,459.78,841.23,521.26,570.51,1.09,0.43,0.42,1.04
"274","orf19.7112","FRP2",688.733158,1617.098985,795.9216937,NA,1042.404491,NA,1.309682221,NA,0.213251412,0.115040839,1.579499031,0.15376808,1.535767452,0.125314175,"Ca21chr7","W",14047,15825,"orf19.7112","Chr7","FRP2",1,688.73,1617.1,795.92,1042.4,1.31,0.21,0.12,0.91
"3041","orf19.7111.1","SOD3",1146.527488,3502.479181,1409.710074,NA,2224.277483,NA,1.577826196,NA,0.012078008,0.020296914,1.70877133,0.142360857,1.642272688,0.145102269,"Ca21chr7","W",15982,16662,"orf19.7111.1","Chr7","FIS1/SOD3",1,1146.53,3502.48,1409.71,2224.28,1.58,0.01,0.02,0.62
"4572","orf19.7111","SOD3",6409.655472,27745.51603,10154.66981,NA,17237.75109,NA,1.697519605,NA,0.069087959,0.073475729,1.582310861,0.061811307,1.566174547,0.124700424,"Ca21chr7","W",16744,17208,"orf19.7111","Chr7","SOD3",1,6409.66,27745.52,10154.67,17237.75,1.7,0.07,0.07,3.7
"4398","orf19.7110","TAD1",474.1197826,1409.020668,524.9263056,NA,889.8578149,NA,1.695205223,NA,0.029881238,0.044973694,1.634844756,0.218399264,1.6048642,0.171825638,"Ca21chr7","W",17255,18298,"orf19.7110","Chr7","TAD1",1,474.12,1409.02,524.93,889.86,1.7,0.03,0.04,1.23
"324","orf19.7109","",1505.093319,4754.117232,1802.97247,NA,2823.637574,NA,1.566101325,NA,0.026271344,0.042026183,1.662474241,0.186767363,1.624437915,0.157292749,"Ca21chr7","C",18851,18321,"orf19.7109","Chr7","",1,1505.09,4754.12,1802.97,2823.64,1.57,0.03,0.04,0.73
"110","orf19.7108","RPE1",4371.670977,17227.61532,5777.070574,NA,11457.03343,NA,1.983190838,NA,0.134722961,0.000721504,1.640482562,0.248401953,1.599890746,0.227352677,"Ca21chr7","W",19179,19871,"orf19.7108","Chr7","RPE1",1,4371.67,17227.62,5777.07,11457.03,1.98,0.13,0,0.51
"5432","orf19.7107","",1321.532935,5036.6184,1655.796292,NA,3243.408276,NA,1.958820836,NA,0.048492976,0.044937478,1.560238877,0.075285396,1.517403239,0.031665308,"Ca21chr7","C",20349,19888,"orf19.7107","Chr7","",1,1321.53,5036.62,1655.8,3243.41,1.96,0.05,0.04,0.58
"3159","orf19.7106","VPS70",821.4147595,1870.328876,951.735976,NA,1206.310274,NA,1.267484159,NA,0.510278326,0.123753483,1.588983949,0.146920561,1.557122592,0.111243713,"Ca21chr7","W",21072,23375,"orf19.7106","Chr7","VPS70",1,821.41,1870.33,951.74,1206.31,1.27,0.51,0.12,0.42
"1357","orf19.7105","FAR1",218.9192761,596.818427,194.2664586,NA,410.4299568,NA,2.033251943,NA,0.141662774,0.152227015,1.609537374,0.179969498,1.558550583,0.125932715,"Ca21chr7","W",23536,25842,"orf19.7105","Chr7","FAR1",1,218.92,596.82,194.27,410.43,2.03,0.14,0.15,336.88
"959","orf19.7104","",769.8060897,2523.422856,940.6247355,NA,1686.55233,NA,1.793012949,NA,0.027909721,0.029203108,1.665531274,0.159165082,1.610081388,0.126646365,"Ca21chr7","W",26062,27036,"orf19.7104","Chr7","",1,769.81,2523.42,940.62,1686.55,1.79,0.03,0.03,1.44
