"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","orf","chr","gene","geneflag","WtMean","MutMean","WtMean2","MutMean2","fold.mut.by.wt","p","p.paired","sd.ratio"
"NA","orf19.362","CTA2",5423.481543,11233.08783,6893.948002,NA,6682.278759,NA,0.969296368,NA,0.953550205,0.812151682,1.067506616,0.077069092,0.997917583,0.052123733,"Ca21chr4","W",983,1660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.1","orf19.364","VMA6",2923.699273,5216.145485,3664.728413,NA,3465.836225,NA,0.945727987,NA,0.5731807,0.588467518,1.060600724,0.108314621,1.048278996,0.058748159,"Ca21chr4","W",2845,3891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.2","orf19.366","RAD17",575.611265,1307.150179,647.2048868,NA,833.744789,NA,1.288223878,NA,0.139648068,0.204023965,1.139040766,0.107976062,1.125908508,0.109138338,"Ca21chr4","C",4904,3894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.3","orf19.367","CNH1",765.9500442,1195.727126,897.1318835,NA,783.0349016,NA,0.87282028,NA,0.633965668,0.581663693,1.144853828,0.196330728,1.120650004,0.183528327,"Ca21chr4","W",5033,7435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.4","orf19.371","",1441.159372,2411.833132,1847.489674,NA,1606.513172,NA,0.86956544,NA,0.685074137,0.511873255,1.175573166,0.321135247,1.146691028,0.219456265,"Ca21chr4","W",7507,8355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.5","orf19.372","",443.6378697,799.8037135,479.5547775,NA,503.3747616,NA,1.049671039,NA,0.70903212,0.717488025,1.14543534,0.191488555,1.104265827,0.17949946,"Ca21chr4","W",8369,8995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.6","orf19.374","",3224.411102,6383.43776,4054.410138,NA,4060.647406,NA,1.001538391,NA,0.934986857,0.871342906,1.134512266,0.158965302,1.115079705,0.157793682,"Ca21chr4","C",11315,8937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.7","orf19.376","BDE99",1239.535714,2280.198695,1519.393158,NA,1410.479268,NA,0.928317507,NA,0.695038414,0.680341469,1.143756025,0.225030269,1.120929741,0.183768668,"Ca21chr4","C",12630,11383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.8","orf19.377","PHR3",220.9365618,315.0362305,189.6725688,NA,201.1578254,NA,1.034260201,NA,0.337909279,0.363584554,1.113032464,0.213463774,1.077794629,0.160154321,"Ca21chr4","W",12792,14307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.9","orf19.5633","",491.841804,734.8852943,528.3109416,NA,494.7177944,NA,0.936414061,NA,0.785124757,0.765920049,1.139874476,0.229026648,1.127076958,0.236262883,"Ca21chr4","C",15704,14304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.10","orf19.5634","FRP1",238.4066487,374.81145,208.4791206,NA,238.4355409,NA,1.138399355,NA,0.343891393,0.382676646,1.092110145,0.120387632,1.071215776,0.102470143,"Ca21chr4","C",17454,15790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.11","orf19.5635","PGA7",391.6462847,576.9219007,410.5437545,NA,383.0000832,NA,0.932909292,NA,0.961106695,0.954555025,1.065770904,0.141046422,1.033552878,0.074545659,"Ca21chr4","W",17801,18460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.12","orf19.5636","RBT5",736.3072119,769.5892737,866.6924149,NA,526.9005195,NA,0.607944076,NA,0.054535142,0.081081702,1.035980924,0.0141957,1.025632976,0.046899422,"Ca21chr4","W",19713,20438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.13","orf19.5639","HIS4",1565.575496,4178.020961,1834.163185,NA,2459.830997,NA,1.341118946,NA,0.619942326,0.182844138,1.076069406,0.136834623,1.056446584,0.109154348,"Ca21chr4","C",23694,21178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
