"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","orf","chr","gene","geneflag","WtMean","MutMean","WtMean2","MutMean2","sd.wt","sd.mut","fold.mut.by.wt","sd.ratio","p","p.paired"
"1360","orf19.7125","",536.9143447,895.2758686,603.1747859,NA,620.1193794,NA,1.028092344,NA,0.880337577,0.846785328,1.750726893,0.278673655,1.680991376,0.249768194,"Ca21chr7","C",1155,97,"orf19.7125","Chr7","",1,536.914344695234,895.27586859043,392.447710010657,410.144143936122,143.851541072765,202.822524085979,1.0450924632099,0.309872889155681,0.957506136700813,0.89388700208778
"564","orf19.7124","RVS161",3287.593131,9785.366737,4694.815724,NA,7132.475526,NA,1.519223745,NA,0.146236423,0.010055058,1.569712334,0.146354271,1.539468854,0.131880589,"Ca21chr7","C",2040,1246,"orf19.7124","Chr7","RVS161",1,3287.59313131896,9785.36673658785,4456.01301405942,7005.08648306257,3306.02526898921,3376.02091018192,1.5720525189133,0.533531950771368,0.126598311368498,0.00517677511605061
"2505","orf19.7123","",1791.803598,5827.696356,2335.400102,NA,4002.514738,NA,1.713845407,NA,0.123659999,0.127241962,1.696862211,0.27169697,1.638603011,0.239939383,"Ca21chr7","W",2278,2769,"orf19.7123","Chr7","",1,1791.8035982009,5827.6963562753,2114.95738169383,3842.7173175408,825.972006282543,1086.7022802529,1.81692423251727,0.60866168310823,0.0923932494577845,0.0713973165354135
"5560","orf19.7121","",1370.611577,4540.655441,1618.058288,NA,2672.950942,NA,1.651949724,NA,0.092404442,0.055207911,1.650647458,0.27380291,1.618202237,0.292772348,"Ca21chr7","C",3421,2747,"orf19.7121","Chr7","",1,1370.61157701947,4540.65544082354,1403.92257317473,2499.75255731992,282.916846007312,819.76876308792,1.78054873187712,0.52778279832237,0.0823325630649395,0.0749681405894759
"4949","orf19.7119","RAD3",1075.364648,3055.102176,1256.17609,NA,1948.653041,NA,1.551257866,NA,0.004312464,0.007934509,1.677517274,0.238254452,1.632138432,0.224951574,"Ca21chr7","C",5761,3464,"orf19.7119","Chr7","RAD3",1,1075.36464849679,3055.10217630726,1043.29621666543,1759.48439463944,198.045984834126,470.501741427692,1.68646676421686,0.583399440313649,0.00391316457033103,0.0209007284918678
"5834","orf19.7118","ADK2",2848.201417,6986.264967,3518.409105,NA,4332.124835,NA,1.231273768,NA,0.449727554,0.148662891,1.813520107,0.274722191,1.788613432,0.31362764,"Ca21chr7","C",6467,5799,"orf19.7118","Chr7","ADK2",1,2848.20141700405,6986.26496695984,3295.84615520368,4179.3651868498,1469.19683007002,1834.81622588609,1.26807047114477,0.464474358831,0.42962550876479,0.202231755408739
"1540","orf19.7116","LEO1",1717.178686,5845.767154,2153.050613,NA,3957.46143,NA,1.838071714,NA,0.020574075,0.009142465,1.592039078,0.23370777,1.525018094,0.158852383,"Ca21chr7","C",7476,6523,"orf19.7116","Chr7","LEO1",1,1717.17868641876,5845.76715426386,1935.01464230953,3797.71766720623,484.450817754117,1735.5577774516,1.96262993786625,0.614970981031413,0.0154643143061155,0.00319916242709555
"2574","orf19.7115","SAC7",784.3969183,2035.367635,896.936739,NA,1310.658259,NA,1.461260535,NA,0.124551545,0.079192637,1.703238922,0.310105867,1.640139543,0.267792102,"Ca21chr7","C",9430,7583,"orf19.7115","Chr7","SAC7",1,784.396918299092,2035.36763452065,685.475899871007,1113.137009985,337.89097554949,485.291305949406,1.62388934489816,0.707222992757097,0.0967101690149198,0.0228571426520061
"4664","orf19.7114","CSA1",459.7781617,841.2322851,521.2612228,NA,570.5076956,NA,1.094475612,NA,0.429318016,0.419797786,1.363259952,0.187478405,1.336266067,0.144324932,"Ca21chr7","C",13080,10024,"orf19.7114","Chr7","CSA1/WAP1",1,459.778161695131,841.232285094921,310.607014814106,359.983636751489,252.016893585172,122.487877298651,1.15896814811776,1.70173793386707,0.348378170064166,0.352558802971293
"268","orf19.7112","FRP2",688.733158,1617.098985,795.9216937,NA,1042.404491,NA,1.309682221,NA,0.213251412,0.115040839,1.579499031,0.15376808,1.535767452,0.125314175,"Ca21chr7","W",14047,15825,"orf19.7112","Chr7","FRP2",1,688.733158049855,1617.09898526975,584.427907563088,839.661416038485,270.305673297013,262.355781769379,1.4367236834046,0.458256211022855,0.131220563232685,0.0153115157819467
"2999","orf19.7111.1","SOD3",1146.527488,3502.479181,1409.710074,NA,2224.277483,NA,1.577826196,NA,0.012078008,0.020296914,1.70877133,0.142360857,1.642272688,0.145102269,"Ca21chr7","W",15982,16662,"orf19.7111.1","Chr7","FIS1/SOD3",1,1146.52748831628,3502.47918120899,1195.08038494682,2039.6720995899,262.938457392877,554.064932128909,1.70672376961543,0.579784485431047,0.00542613626146862,0.014689798452325
"4530","orf19.7111","SOD3",6409.655472,27745.51603,10154.66981,NA,17237.75109,NA,1.697519605,NA,0.069087959,0.073475729,1.582310861,0.061811307,1.566174547,0.124700424,"Ca21chr7","W",16744,17208,"orf19.7111","Chr7","SOD3",1,6409.65547240116,27745.516025641,9865.31891667602,17290.6360860461,12028.7900831111,4372.55046859571,1.75266874108029,3.93417192297936,0.0631599499535796,0.0693943061823714
"4356","orf19.7110","TAD1",474.1197826,1409.020668,524.9263056,NA,889.8578149,NA,1.695205223,NA,0.029881238,0.044973694,1.634844756,0.218399264,1.6048642,0.171825638,"Ca21chr7","W",17255,18298,"orf19.7110","Chr7","TAD1",1,474.119782629651,1409.02066755084,314.56392536218,685.301000907797,84.9306817418038,179.963533932323,2.17857467323617,0.478569429546579,0.000695373009424148,0.000436701522834652
"318","orf19.7109","",1505.093319,4754.117232,1802.97247,NA,2823.637574,NA,1.566101325,NA,0.026271344,0.042026183,1.662474241,0.186767363,1.624437915,0.157292749,"Ca21chr7","C",18851,18321,"orf19.7109","Chr7","",1,1505.09331947796,4754.11723218302,1587.91764980962,2653.40658817559,451.388918934981,924.254927976816,1.67099760399648,0.684256754699647,0.023418422810275,0.0279718149622182
"104","orf19.7108","RPE1",4371.670977,17227.61532,5777.070574,NA,11457.03343,NA,1.983190838,NA,0.134722961,0.000721504,1.640482562,0.248401953,1.599890746,0.227352677,"Ca21chr7","W",19179,19871,"orf19.7108","Chr7","RPE1",1,4371.67097701149,17227.615320039,5539.35455410353,11412.2448612668,3984.38259916661,7571.17147832603,2.06021202466858,0.43353083684787,0.123455552717159,0.000251955551035517
"5390","orf19.7107","",1321.532935,5036.6184,1655.796292,NA,3243.408276,NA,1.958820836,NA,0.048492976,0.044937478,1.560238877,0.075285396,1.517403239,0.031665308,"Ca21chr7","C",20349,19888,"orf19.7107","Chr7","",1,1321.53293545535,5036.61840027788,1439.80737009682,3074.51788469194,268.403748967658,169.640555962788,2.13536751411766,0.327201086206069,0.0144129952211199,0.0117972798165732
"3117","orf19.7106","VPS70",821.4147595,1870.328876,951.735976,NA,1206.310274,NA,1.267484159,NA,0.510278326,0.123753483,1.588983949,0.146920561,1.557122592,0.111243713,"Ca21chr7","W",21072,23375,"orf19.7106","Chr7","VPS70",1,821.41475954475,1870.32887562629,739.899897034569,1005.68273906566,514.319870878463,707.640035345874,1.3592145952396,1.03366758482812,0.457540392275731,0.099201364546516
"1350","orf19.7105","FAR1",218.9192761,596.818427,194.2664586,NA,410.4299568,NA,2.033251943,NA,0.141662774,0.152227015,1.609537374,0.179969498,1.558550583,0.125932715,"Ca21chr7","W",23536,25842,"orf19.7105","Chr7","FAR1",1,218.919276113582,596.818426981564,3.61365381187412,197.573017058302,7.53724125738236,204.72738881005,46.1584636124388,214.64919791486,0.000189696724708991,0.00294813524749024
