orf	chr	gene	geneflag	WtMean	MutMean	WtMean2	MutMean2	sd.wt	sd.mut	fold.mut.by.wt	sd.ratio	p	p.paired
orf19.6002	Chr3	RPL8B/RPL81	1	14542.8984145266	34636.7505566428	18692.5089390432	22585.1805190786	4999.39231860584	4099.10775630839	1.20824767786548	0.76732257974064	0.170662161689653	0.299619965881338
orf19.6350	Chr1		1	327.943191865606	602.396770912789	119.309145779397	188.094580388819	72.9299078388706	45.262275907366	1.57653111301799	1.97148446971975	0.266155126855691	0.366501709245823
orf19.1655	Chr3	PMP3/PXP2/POX1	1	7974.38140056153	15004.1735149632	10833.2819619813	11682.5138259956	11349.3948826541	13024.5609010396	1.07839100532920	0.50155283789645	0.927010314197674	0.727050006779336
orf19.6918	Chr7		1	649.737198876945	1132.38616355273	601.477434299285	620.309963552641	831.330027139356	828.654590187727	1.03130177662030	0.532738285384615	0.799743789531515	0.266199093680145
orf19.3780	Chr4		1	257.593980253463	369.645767956103	51.669782553443	38.7750234478119	79.7679806762856	54.8891730966118	1	6.18873743401871	0.816519805678493	0.524361187275203
orf19.4163	Chr4		1	529.086961327029	670.516199221577	342.677737780697	191.051080541604	260.159415485254	154.224014493365	0.557524050960878	1.41804347435913	0.735408313651126	0.408859342547025
orf19.3781	Chr4		1	409.431823923203	512.85846362533	244.866625053159	131.612271688324	293.664258890083	142.461473690496	0.538480318717365	0.397493704256847	0.622798205347015	0.0996430182230627
orf19.5095	Chr1	OSH1	1	1073.77048597954	1692.07448089985	1033.99774403245	835.001481987596	561.14098684294	465.474071271566	0.8075467154611	0.249852762260853	0.746775432596160	0.185987820220634
orf19.1536	Chr2	196623..197660)	1	3731.47808264029	6556.96886998471	4422.35031720454	3998.97873384058	1222.73476936236	1645.16451322402	0.904265480344944	0.298286790841998	0.517131674890246	0.31971464206136
orf19.5268	Chr1	NUT2	1	252.189994631805	402.984353599972	41.3084961106646	43.7194946192968	47.0794531389492	31.8981991587573	1	20.5887194511491	0.576564292422606	0.391966035894094
orf19.187	Chr2		1	974.468169761273	1378.09256969019	969.688811969897	674.597103860137	977.7745195559	673.685876402594	0.695564564741641	2.66084377130763	0.990557363191674	0.966537898566476
orf19.3295	Chr1		1	476.913272072755	607.277401279117	290.266275698868	185.936279244405	242.386547073255	116.908434581504	0.640571416010109	1.35954739281056	0.62255360384882	0.551184063342014
orf19.2444	Chr1	CHS7	1	1121.66055787896	3075.63711607422	1105.53491347871	1724.70914938398	226.922828645388	509.547851779271	1.56006755495126	0.299829709668077	0.0210283873432667	0.00395675842222235
orf19.4993	Chr1	SEC18	1	1626.45402298851	3478.28576248313	1671.63450384902	1903.61613312631	1417.94026769706	1546.07160044015	1.13877532962088	0.530791315542578	0.734740082505812	0.272634558212717
orf19.5662	Chr4	PEP7	1	415.223006676727	885.923569423116	234.675168875538	343.040055107491	165.117632018547	183.124864312036	1.4617654554216	0.849263881630553	0.23510839945376	0.0249492703475358
orf19.3674	Chr1	GAL102	1	1258.66966044643	2487.00230766838	1559.25676067104	1847.08972347441	1682.32581371324	2032.69670554352	1.18459625769363	0.203695208340346	0.852081790375866	0.181081307388434
orf19.5464	Chr3		1	200.172104110852	222.262820512821	0	0	0	0	1	0	NA	NA
